Phon1	Phon2	Phon3	Count	Centered Prob(Phon2 | Phon1 ... Phon3)
i	E	s	5	0.151515151515152
 	5	 	5	0.151515151515152
 	1	S	5	0.151515151515152
I	d	7	23	0.151315789473684
l	@	l	18	0.151260504201681
I	v	3	18	0.151260504201681
l	E	g	31	0.151219512195122
l	i	v	37	0.151020408163265
 	b	4	24	0.150943396226415
n	h	#	8	0.150943396226415
h	{	z	8	0.150943396226415
h	E	z	8	0.150943396226415
 	h	#	141	0.150802139037433
p	s	 	52	0.15028901734104
h	E	l	41	0.15018315018315
n	5	v	15	0.15
b	E	v	3	0.15
_	@	p	3	0.15
_	E	r	12	0.15
h	I	b	12	0.15
k	U	w	3	0.15
n	{	p	27	0.15
b	s	$	6	0.15
d	l	Q	9	0.15
u	t	2	3	0.15
d	I	Q	9	0.15
n	V	T	6	0.15
_	i	p	3	0.15
6	@	f	3	0.15
 	{	_	12	0.15
n	I	T	6	0.15
z	5	Q	3	0.15
g	n	2	6	0.15
_	d	 	24	0.15
1	k	w	3	0.15
p	V	f	9	0.15
S	n	@	21	0.15
m	w	#	6	0.15
b	{	r	31	0.14975845410628
U	k	 	53	0.149717514124294
I	p	V	19	0.149606299212598
d	V	k	54	0.149584487534626
w	1	t	48	0.149532710280374
n	t	j	16	0.149532710280374
p	{	J	10	0.149253731343284
d	E	f	24	0.149068322981366
#	r	1	7	0.148936170212766
m	p	J	7	0.148936170212766
t	k	#	7	0.148936170212766
I	z	m	21	0.148936170212766
 	f	l	286	0.148725949037962
b	U	k	47	0.148264984227129
#	d	j	4	0.148148148148148
5	n	w	4	0.148148148148148
U	d	l	4	0.148148148148148
k	s	T	4	0.148148148148148
1	b	i	4	0.148148148148148
T	i	I	8	0.148148148148148
#	h	i	4	0.148148148148148
k	s	g	4	0.148148148148148
i	v	2	4	0.148148148148148
h	V	g	4	0.148148148148148
1	s	i	4	0.148148148148148
u	I	s	4	0.148148148148148
i	h	2	4	0.148148148148148
 	t	9	8	0.148148148148148
T	3	t	8	0.148148148148148
#	f	j	4	0.148148148148148
i	s	2	4	0.148148148148148
5	m	w	4	0.148148148148148
 	s	V	247	0.148081534772182
t	I	n	167	0.148049645390071
5	s	E	17	0.147826086956522
 	p	3	124	0.147794994040524
w	I	k	31	0.147619047619048
p	$	t	90	0.147540983606557
I	k	J	9	0.147540983606557
w	#	R	9	0.147540983606557
f	{	g	9	0.147540983606557
s	w	U	9	0.147540983606557
S	Q	d	9	0.147540983606557
k	{	r	46	0.147435897435897
h	V	n	37	0.147410358565737
1	S	@	79	0.147388059701493
d	@	l	43	0.147260273972603
2	b	2	5	0.147058823529412
f	3	D	5	0.147058823529412
p	3	_	5	0.147058823529412
2	l	d	30	0.147058823529412
n	t	6	5	0.147058823529412
u	t	I	56	0.146981627296588
U	d	 	52	0.146892655367232
m	{	t	93	0.146687697160883
k	s	I	123	0.146428571428571
s	p	u	18	0.146341463414634
#	m	l	6	0.146341463414634
f	r	@	24	0.146341463414634
j	@	b	12	0.146341463414634
k	w	i	25	0.146198830409357
u	t	@	52	0.146067415730337
 	r	I	612	0.145922746781116
@	b	V	21	0.145833333333333
2	s	t	14	0.145833333333333
I	l	E	86	0.145762711864407
r	E	J	15	0.145631067961165
J	1	s	8	0.145454545454545
d	2	z	16	0.145454545454545
d	b	$	8	0.145454545454545
j	@	m	25	0.145348837209302
m	n	I	34	0.145299145299145
2	n	 	175	0.145228215767635
s	@	g	10	0.144927536231884
_	{	m	10	0.144927536231884
r	I	d	93	0.144859813084112
r	@	p	94	0.144838212634823
V	k	t	64	0.144796380090498
 	t	r	457	0.144711842938569
s	l	2	25	0.144508670520231
s	w	i	29	0.144278606965174
b	3	g	17	0.144067796610169
I	d	l	117	0.143558282208589
 	h	8	33	0.143478260869565
f	1	s	39	0.143382352941176
2	d	I	39	0.143382352941176
E	l	I	145	0.143139190523198
r	7	l	113	0.143037974683544
{	t	2	2	0.142857142857143
$	n	u	1	0.142857142857143
@	t	T	2	0.142857142857143
Q	n	2	1	0.142857142857143
7	n	#	1	0.142857142857143
5	@	h	2	0.142857142857143
V	l	n	7	0.142857142857143
Q	p	2	1	0.142857142857143
l	I	l	17	0.142857142857143
{	J	u	1	0.142857142857143
8	m	i	1	0.142857142857143
d	p	8	1	0.142857142857143
S	h	E	1	0.142857142857143
5	z	7	4	0.142857142857143
Q	s	w	5	0.142857142857143
@	b	h	3	0.142857142857143
#	n	t	38	0.142857142857143
l	t	#	3	0.142857142857143
U	k	s	4	0.142857142857143
$	s	8	1	0.142857142857143
v	t	1	3	0.142857142857143
Q	l	2	1	0.142857142857143
5	t	1	17	0.142857142857143
P	_	{	2	0.142857142857143
U	k	h	1	0.142857142857143
5	p	b	2	0.142857142857143
6	d	n	1	0.142857142857143
m	I	f	7	0.142857142857143
$	d	u	1	0.142857142857143
i	s	g	1	0.142857142857143
u	l	{	4	0.142857142857143
7	b	2	4	0.142857142857143
Q	f	h	5	0.142857142857143
$	p	S	2	0.142857142857143
u	g	{	4	0.142857142857143
m	5	p	4	0.142857142857143
3	d	b	1	0.142857142857143
s	p	5	33	0.142857142857143
@	l	9	1	0.142857142857143
U	m	@	43	0.142857142857143
S	E	l	19	0.142857142857143
z	V	p	2	0.142857142857143
{	f	2	2	0.142857142857143
{	s	u	1	0.142857142857143
5	I	b	2	0.142857142857143
Q	g	i	1	0.142857142857143
P	h	{	2	0.142857142857143
z	l	7	1	0.142857142857143
#	b	$	1	0.142857142857143
@	t	9	1	0.142857142857143
i	d	5	10	0.142857142857143
$	t	u	1	0.142857142857143
$	d	S	2	0.142857142857143
g	r	8	1	0.142857142857143
8	l	I	14	0.142857142857143
V	m	n	7	0.142857142857143
8	t	i	1	0.142857142857143
8	f	i	1	0.142857142857143
@	_	9	1	0.142857142857143
2	1	S	1	0.142857142857143
P	m	{	2	0.142857142857143
2	d	S	1	0.142857142857143
n	t	5	18	0.142857142857143
{	p	2	2	0.142857142857143
@	s	T	2	0.142857142857143
g	b	8	1	0.142857142857143
E	g	n	8	0.142857142857143
S	#	f	4	0.142857142857143
z	g	3	1	0.142857142857143
6	l	n	1	0.142857142857143
$	f	8	1	0.142857142857143
#	p	S	1	0.142857142857143
E	l	u	1	0.142857142857143
i	t	5	10	0.142857142857143
1	d	5	4	0.142857142857143
Q	T	i	1	0.142857142857143
 	s	q	1	0.142857142857143
k	J	9	13	0.142857142857143
d	I	T	2	0.142857142857143
{	g	u	1	0.142857142857143
N	b	#	1	0.142857142857143
{	g	m	10	0.142857142857143
i	$	g	1	0.142857142857143
E	r	U	3	0.142857142857143
P	n	U	1	0.142857142857143
j	@	l	63	0.142857142857143
5	m	b	2	0.142857142857143
S	m	@	20	0.142857142857143
4	n	I	3	0.142857142857143
Q	n	w	5	0.142857142857143
{	J	9	2	0.142857142857143
8	l	Q	1	0.142857142857143
T	$	g	1	0.142857142857143
8	p	i	1	0.142857142857143
k	$	z	9	0.142857142857143
l	k	{	5	0.142857142857143
 	m	q	1	0.142857142857143
7	g	#	1	0.142857142857143
6	t	n	1	0.142857142857143
d	b	{	10	0.142857142857143
z	m	I	8	0.142857142857143
N	#	m	1	0.142857142857143
k	l	I	120	0.142857142857143
4	z	I	3	0.142857142857143
3	T	b	1	0.142857142857143
{	l	2	2	0.142857142857143
@	v	9	1	0.142857142857143
$	s	S	2	0.142857142857143
Q	r	2	1	0.142857142857143
z	r	7	1	0.142857142857143
4	n	z	1	0.142857142857143
@	s	b	2	0.142857142857143
6	I	z	1	0.142857142857143
N	m	#	1	0.142857142857143
5	h	U	1	0.142857142857143
7	v	#	1	0.142857142857143
2	r	i	4	0.142857142857143
Q	s	2	1	0.142857142857143
l	d	h	3	0.142857142857143
l	5	h	3	0.142857142857143
E	T	n	8	0.142857142857143
$	s	u	1	0.142857142857143
@	t	H	1	0.142857142857143
3	t	I	50	0.142450142450142
3	k	 	67	0.142250530785563
 	t	w	65	0.142231947483589
E	l	 	98	0.142028985507246
s	w	3	16	0.141592920353982
{	k	l	12	0.141176470588235
{	b	l	12	0.141176470588235
s	I	l	103	0.141095890410959
n	@	l	79	0.141071428571429
S	H	t	21	0.140939597315436
g	1	m	10	0.140845070422535
5	I	s	10	0.140845070422535
U	I	n	10	0.140845070422535
Q	t	 	112	0.14070351758794
Q	t	l	9	0.140625
k	E	J	9	0.140625
i	g	P	9	0.140625
n	t	Q	16	0.140350877192982
2	d	 	169	0.140248962655602
 	p	@	212	0.14021164021164
s	Q	f	29	0.140096618357488
@	r	4	7	0.14
n	I	v	14	0.14
r	5	T	7	0.14
E	d	w	7	0.14
n	E	v	14	0.14
n	I	t	103	0.139755766621438
r	#	f	69	0.139676113360324
3	m	I	49	0.13960113960114
$	m	l	6	0.13953488372093
i	m	{	6	0.13953488372093
w	#	f	6	0.13953488372093
i	k	{	6	0.13953488372093
D	z	 	6	0.13953488372093
w	$	f	6	0.13953488372093
l	#	Z	6	0.13953488372093
w	2	f	6	0.13953488372093
I	r	U	6	0.13953488372093
h	E	n	35	0.139442231075697
s	3	v	46	0.139393939393939
@	m	#	23	0.139393939393939
l	1	t	149	0.139382600561272
r	8	r	11	0.139240506329114
I	n	S	16	0.139130434782609
k	@	s	37	0.139097744360902
@	r	V	20	0.138888888888889
{	k	7	5	0.138888888888889
@	d	V	20	0.138888888888889
u	m	j	10	0.138888888888889
l	E	v	34	0.138775510204082
t	2	m	77	0.138738738738739
d	r	I	62	0.138702460850112
$	d	 	104	0.138666666666667
i	m	l	13	0.138297872340426
i	k	l	13	0.138297872340426
b	@	b	17	0.138211382113821
d	z	 	76	0.138181818181818
I	v	7	21	0.138157894736842
g	#	g	4	0.137931034482759
2	f	H	4	0.137931034482759
w	I	b	4	0.137931034482759
#	s	P	4	0.137931034482759
#	b	P	4	0.137931034482759
f	8	w	4	0.137931034482759
g	I	g	4	0.137931034482759
 	s	u	98	0.137834036568214
 	b	l	265	0.137805512220489
k	I	d	27	0.137755102040816
k	#	d	27	0.137755102040816
i	k	@	50	0.137741046831956
J	2	l	15	0.137614678899083
$	d	I	41	0.13758389261745
 	@	p	103	0.137516688918558
_	9	r	11	0.1375
h	Q	b	11	0.1375
p	Q	m	14	0.137254901960784
2	r	5	7	0.137254901960784
E	r	I	139	0.137216189536032
1	S	P	10	0.136986301369863
 	p	#	128	0.136898395721925
 	k	{	359	0.136866183759055
d	i	p	22	0.136645962732919
n	d	b	22	0.136645962732919
n	5	b	22	0.136645962732919
u	s	I	52	0.136482939632546
i	t	f	3	0.136363636363636
$	T	$	3	0.136363636363636
3	T	l	6	0.136363636363636
b	U	S	9	0.136363636363636
k	5	3	3	0.136363636363636
i	d	k	3	0.136363636363636
V	s	k	30	0.136363636363636
n	s	7	6	0.136363636363636
b	{	S	9	0.136363636363636
u	p	E	3	0.136363636363636
5	t	P	6	0.136363636363636
i	Q	k	3	0.136363636363636
m	b	i	3	0.136363636363636
$	h	$	3	0.136363636363636
3	t	l	6	0.136363636363636
#	b	w	3	0.136363636363636
i	5	f	3	0.136363636363636
N	p	l	9	0.136363636363636
k	l	E	27	0.136363636363636
#	t	w	3	0.136363636363636
H	t	r	3	0.136363636363636
l	I	d	47	0.136231884057971
f	2	n	47	0.136231884057971
f	I	l	92	0.136094674556213
{	n	 	112	0.135922330097087
r	i	J	14	0.135922330097087
I	k	 	765	0.135806852476478
b	Q	k	43	0.135646687697161
@	n	 	734	0.135599482726769
U	m	 	48	0.135593220338983
t	$	J	8	0.135593220338983
p	@	l	63	0.135483870967742
l	{	m	59	0.135321100917431
v	{	l	38	0.135231316725979
z	H	 	27	0.135
v	{	k	17	0.134920634920635
d	6	n	72	0.134831460674157
u	@	l	12	0.134831460674157
d	f	#	7	0.134615384615385
{	t	f	7	0.134615384615385
k	s	2	21	0.134615384615385
s	p	j	14	0.134615384615385
l	2	f	28	0.134615384615385
4	n	 	16	0.134453781512605
s	E	s	48	0.134453781512605
r	U	I	9	0.134328358208955
d	r	@	36	0.134328358208955
f	{	b	11	0.134146341463415
b	@	n	52	0.134020618556701
j	U	m	23	0.133720930232558
k	1	t	90	0.13353115727003
$	s	J	2	0.133333333333333
u	s	f	4	0.133333333333333
V	d	T	2	0.133333333333333
I	v	6	4	0.133333333333333
_	u	I	2	0.133333333333333
i	m	#	2	0.133333333333333
i	v	7	2	0.133333333333333
$	m	b	2	0.133333333333333
i	z	#	2	0.133333333333333
4	E	n	2	0.133333333333333
$	n	V	2	0.133333333333333
u	t	f	4	0.133333333333333
i	S	u	2	0.133333333333333
V	m	T	2	0.133333333333333
_	2	v	2	0.133333333333333
l	b	Q	4	0.133333333333333
{	l	#	2	0.133333333333333
f	@	p	2	0.133333333333333
u	t	m	2	0.133333333333333
1	t	m	6	0.133333333333333
u	I	d	4	0.133333333333333
$	k	V	2	0.133333333333333
m	d	6	2	0.133333333333333
n	d	D	2	0.133333333333333
u	v	m	2	0.133333333333333
i	t	7	2	0.133333333333333
p	Q	l	62	0.133333333333333
3	d	r	2	0.133333333333333
u	k	Q	2	0.133333333333333
g	@	k	2	0.133333333333333
f	Q	p	2	0.133333333333333
{	s	#	2	0.133333333333333
{	t	#	2	0.133333333333333
I	n	6	4	0.133333333333333
$	s	b	2	0.133333333333333
l	f	V	2	0.133333333333333
g	#	k	2	0.133333333333333
#	t	h	2	0.133333333333333
4	t	n	2	0.133333333333333
m	V	g	14	0.133333333333333
$	r	2	2	0.133333333333333
$	t	2	2	0.133333333333333
i	s	u	2	0.133333333333333
i	b	u	2	0.133333333333333
#	d	h	2	0.133333333333333
n	v	8	2	0.133333333333333
3	b	j	6	0.133333333333333
l	p	Q	4	0.133333333333333
u	z	m	2	0.133333333333333
f	i	v	4	0.133333333333333
m	b	6	2	0.133333333333333
i	_	7	2	0.133333333333333
I	n	4	2	0.133333333333333
m	h	6	2	0.133333333333333
_	#	v	2	0.133333333333333
I	k	4	2	0.133333333333333
V	t	T	2	0.133333333333333
{	k	#	2	0.133333333333333
u	d	Q	2	0.133333333333333
n	Q	g	14	0.133333333333333
g	V	s	14	0.133333333333333
u	l	Q	2	0.133333333333333
3	T	r	2	0.133333333333333
$	l	2	2	0.133333333333333
g	3	k	2	0.133333333333333
 	p	l	256	0.133125325013001
@	l	i	31	0.133047210300429
 	s	@	201	0.132936507936508
1	d	j	17	0.1328125
g	{	r	13	0.13265306122449
S	Q	p	22	0.132530120481928
n	@	d	18	0.132352941176471
J	I	k	9	0.132352941176471
J	I	n	16	0.132231404958678
h	5	z	7	0.132075471698113
h	#	d	33	0.132
@	p	Q	43	0.131901840490798
#	d	 	72	0.131868131868132
k	S	9	12	0.131868131868132
 	s	m	87	0.131818181818182
3	R	 	62	0.131634819532909
 	E	k	149	0.131625441696113
l	m	2	5	0.131578947368421
i	p	Q	5	0.131578947368421
l	Q	J	5	0.131578947368421
@	m	5	25	0.131578947368421
#	f	k	5	0.131578947368421
l	5	w	5	0.131578947368421
k	r	@	58	0.131519274376417
3	n	@	43	0.131498470948012
v	d	 	28	0.131455399061033
b	{	n	51	0.131443298969072
k	t	r	41	0.131410256410256
Q	l	j	13	0.131313131313131
f	Q	g	8	0.131147540983607
S	E	d	8	0.131147540983607
z	$	s	8	0.131147540983607
5	t	 	86	0.13109756097561
n	d	E	46	0.131054131054131
k	l	$	11	0.130952380952381
h	{	m	20	0.130718954248366
g	m	@	20	0.130718954248366
r	5	E	3	0.130434782608696
2	5	g	3	0.130434782608696
h	6	 	6	0.130434782608696
#	n	5	6	0.130434782608696
5	t	3	3	0.130434782608696
I	p	S	15	0.130434782608696
1	m	l	12	0.130434782608696
i	n	V	3	0.130434782608696
p	t	6	3	0.130434782608696
5	w	3	3	0.130434782608696
h	5	 	6	0.130434782608696
2	m	{	6	0.130434782608696
_	i	z	3	0.130434782608696
2	Q	g	3	0.130434782608696
2	{	g	3	0.130434782608696
_	{	z	3	0.130434782608696
i	b	V	3	0.130434782608696
6	n	r	3	0.130434782608696
_	3	m	9	0.130434782608696
k	t	1	18	0.130434782608696
u	n	i	3	0.130434782608696
_	3	z	3	0.130434782608696
i	d	V	3	0.130434782608696
h	u	 	6	0.130434782608696
w	7	r	9	0.130434782608696
h	#	 	6	0.130434782608696
U	l	S	3	0.130434782608696
T	Q	r	6	0.130434782608696
N	t	1	3	0.130434782608696
_	2	z	3	0.130434782608696
N	r	1	3	0.130434782608696
I	p	8	9	0.130434782608696
T	j	@	3	0.130434782608696
r	@	v	49	0.13031914893617
E	t	I	132	0.13030602171767
s	p	#	19	0.13013698630137
I	l	j	51	0.130102040816327
b	1	b	16	0.130081300813008
5	d	j	13	0.13
5	p	j	13	0.13
 	s	3	109	0.129916567342074
7	l	 	76	0.12991452991453
n	j	@	186	0.129888268156425
I	n	Q	27	0.129807692307692
I	k	Q	27	0.129807692307692
I	m	Q	27	0.129807692307692
 	k	5	155	0.129707112970711
m	f	U	7	0.12962962962963
 	_	9	7	0.12962962962963
d	k	V	7	0.12962962962963
l	t	@	68	0.12952380952381
{	d	l	11	0.129411764705882
b	I	k	41	0.129337539432177
{	l	k	27	0.129186602870813
r	I	l	102	0.129113924050633
b	u	z	8	0.129032258064516
l	f	E	4	0.129032258064516
$	T	i	4	0.129032258064516
u	p	P	4	0.129032258064516
k	t	8	4	0.129032258064516
$	s	i	4	0.129032258064516
b	$	J	4	0.129032258064516
P	s	@	4	0.129032258064516
z	7	r	4	0.129032258064516
i	_	i	8	0.129032258064516
$	r	i	4	0.129032258064516
m	#	v	4	0.129032258064516
 	{	f	29	0.128888888888889
I	k	$	17	0.128787878787879
f	@	m	26	0.128712871287129
b	2	5	9	0.128571428571429
p	{	n	90	0.128571428571429
t	P	 	167	0.12826420890937
J	n	@	5	0.128205128205128
f	l	u	15	0.128205128205128
5	Z	H	5	0.128205128205128
f	8	R	15	0.128205128205128
g	z	E	10	0.128205128205128
m	@	s	70	0.128205128205128
g	{	b	5	0.128205128205128
N	b	5	5	0.128205128205128
i	s	m	5	0.128205128205128
2	p	Q	5	0.128205128205128
@	n	P	77	0.128119800332779
n	s	1	22	0.127906976744186
n	d	1	22	0.127906976744186
5	t	I	44	0.127906976744186
k	{	b	18	0.127659574468085
t	h	#	6	0.127659574468085
p	1	v	6	0.127659574468085
u	d	 	80	0.127591706539075
@	l	1	75	0.127551020408163
k	@	d	25	0.127551020408163
l	V	d	44	0.127536231884058
S	u	t	19	0.12751677852349
l	{	N	39	0.127450980392157
f	Q	r	21	0.127272727272727
i	p	r	8	0.126984126984127
k	{	p	56	0.126984126984127
V	t	@	48	0.126984126984127
n	E	k	56	0.126984126984127
 	k	r	401	0.126979100696643
k	l	u	28	0.126696832579186
b	j	@	19	0.126666666666667
_	V	s	21	0.126506024096386
7	s	 	74	0.126495726495726
r	{	n	170	0.126488095238095
p	3	p	23	0.126373626373626
I	s	3	15	0.126050420168067
 	_	4	20	0.125786163522013
Q	m	I	114	0.125689084895259
g	I	l	23	0.12568306010929
s	@	f	26	0.1256038647343
s	t	f	26	0.1256038647343
 	@	g	29	0.125541125541126
8	k	u	1	0.125
Q	m	3	1	0.125
{	s	E	2	0.125
p	p	8	1	0.125
8	d	E	2	0.125
1	v	V	1	0.125
1	d	{	1	0.125
1	d	V	1	0.125
T	k	V	1	0.125
N	d	u	1	0.125
l	v	7	1	0.125
u	b	V	1	0.125
8	m	2	1	0.125
#	k	s	11	0.125
g	I	 	26	0.125
b	s	4	1	0.125
D	z	b	1	0.125
E	p	$	1	0.125
1	p	S	1	0.125
N	p	u	1	0.125
8	l	E	2	0.125
4	t	s	1	0.125
N	b	u	1	0.125
f	$	s	34	0.125
8	r	E	2	0.125
s	V	J	3	0.125
b	u	D	2	0.125
n	1	d	17	0.125
P	I	z	1	0.125
s	{	J	3	0.125
b	n	$	5	0.125
6	t	h	1	0.125
#	b	u	1	0.125
I	n	j	49	0.125
2	l	$	1	0.125
T	t	V	1	0.125
$	g	j	5	0.125
$	m	E	5	0.125
2	m	$	1	0.125
Q	N	#	1	0.125
U	t	w	2	0.125
S	h	5	1	0.125
1	p	{	1	0.125
P	p	i	1	0.125
u	d	V	1	0.125
l	t	7	1	0.125
1	g	V	1	0.125
J	V	m	4	0.125
E	t	Q	1	0.125
v	H	p	3	0.125
I	m	#	12	0.125
1	I	S	1	0.125
E	r	Q	1	0.125
z	S	i	1	0.125
2	k	P	9	0.125
2	p	$	1	0.125
Q	t	{	1	0.125
m	i	z	11	0.125
J	l	Q	1	0.125
E	b	$	1	0.125
J	p	Q	1	0.125
v	@	_	7	0.125
z	l	i	1	0.125
6	@	_	1	0.125
m	b	E	7	0.125
E	g	Q	1	0.125
Q	n	#	1	0.125
{	m	E	2	0.125
Q	n	3	1	0.125
U	r	5	1	0.125
3	b	Q	1	0.125
2	v	P	9	0.125
r	#	Z	3	0.125
k	f	4	1	0.125
2	@	f	3	0.125
z	1	_	1	0.125
$	T	E	5	0.125
U	S	5	1	0.125
8	t	2	1	0.125
N	r	u	1	0.125
#	d	u	1	0.125
E	l	Q	1	0.125
D	8	b	1	0.125
3	k	Q	1	0.125
2	k	l	22	0.125
J	b	U	1	0.125
U	t	5	1	0.125
p	H	8	1	0.125
1	m	z	4	0.125
J	t	Q	1	0.125
P	b	i	1	0.125
1	d	S	1	0.125
J	I	m	4	0.125
1	S	S	1	0.125
_	U	g	5	0.125
U	k	5	1	0.125
8	l	u	1	0.125
2	p	6	1	0.125
E	k	Q	1	0.125
z	b	i	1	0.125
z	m	1	2	0.125
1	m	{	1	0.125
u	S	n	4	0.125
J	t	2	1	0.125
k	p	4	1	0.125
b	E	d	36	0.125
3	m	Q	1	0.125
s	k	9	1	0.125
E	s	$	1	0.125
J	7	f	3	0.125
h	V	J	2	0.125
{	n	Q	2	0.125
5	d	2	8	0.125
J	w	1	2	0.125
z	k	5	1	0.125
h	2	b	10	0.125
8	b	$	1	0.125
v	E	_	7	0.125
b	i	f	7	0.125
4	n	s	1	0.125
8	p	$	1	0.125
8	d	2	1	0.125
r	5	g	34	0.125
1	m	d	7	0.125
1	d	z	4	0.125
_	{	g	5	0.125
E	f	Q	1	0.125
{	l	Q	2	0.125
n	i	T	5	0.125
m	#	h	2	0.125
3	l	Q	1	0.125
8	h	E	2	0.125
z	t	1	2	0.125
Q	d	l	8	0.125
T	n	Q	3	0.125
8	w	$	1	0.125
2	s	$	1	0.125
z	_	i	1	0.125
I	l	7	19	0.125
1	@	b	5	0.125
z	b	I	7	0.125
8	b	E	2	0.125
3	t	P	7	0.125
#	f	p	3	0.125
u	z	V	1	0.125
v	{	m	4	0.125
s	i	J	3	0.125
2	s	6	1	0.125
P	E	t	1	0.125
N	t	u	1	0.125
{	b	E	2	0.125
d	b	4	1	0.125
2	_	7	3	0.125
p	b	8	1	0.125
2	n	6	1	0.125
i	s	H	9	0.125
N	g	u	1	0.125
6	d	h	1	0.125
g	w	2	5	0.125
P	w	i	1	0.125
i	p	P	8	0.125
b	l	4	1	0.125
6	d	k	2	0.125
 	1	_	10	0.125
g	z	h	1	0.125
6	t	_	1	0.125
J	d	2	1	0.125
6	@	h	1	0.125
5	{	n	5	0.125
1	m	V	1	0.125
@	p	$	24	0.124352331606218
d	1	t	39	0.124203821656051
 	Q	b	38	0.124183006535948
Q	p	@	93	0.124165554072096
V	f	P	18	0.124137931034483
E	g	j	16	0.124031007751938
h	2	d	31	0.124
m	b	I	29	0.123931623931624
l	@	m	54	0.123853211009174
{	n	I	122	0.123732251521298
u	p	l	11	0.123595505617978
m	3	_	9	0.123287671232877
s	l	#	18	0.123287671232877
I	n	{	33	0.123134328358209
Q	n	 	98	0.123115577889447
Q	k	 	98	0.123115577889447
w	2	p	8	0.123076923076923
E	k	r	15	0.122950819672131
v	E	s	29	0.122881355932203
@	n	Q	40	0.122699386503067
n	l	2	20	0.122699386503067
s	n	I	182	0.122558922558923
 	2	d	37	0.122516556291391
 	E	s	43	0.122507122507123
i	n	1	6	0.122448979591837
V	v	n	6	0.122448979591837
i	m	1	6	0.122448979591837
m	{	f	6	0.122448979591837
 	m	{	321	0.122378955394586
s	V	m	45	0.122282608695652
l	$	r	33	0.122222222222222
b	1	s	27	0.122171945701357
S	E	r	5	0.121951219512195
t	s	w	5	0.121951219512195
#	s	l	5	0.121951219512195
S	I	z	5	0.121951219512195
 	m	#	114	0.12192513368984
s	@	l	89	0.121917808219178
n	k	$	14	0.121739130434783
n	f	j	13	0.121495327102804
 	$	g	28	0.121212121212121
I	s	$	16	0.121212121212121
g	2	z	4	0.121212121212121
g	1	z	4	0.121212121212121
i	I	s	4	0.121212121212121
E	d	z	4	0.121212121212121
i	v	@	44	0.121212121212121
m	{	T	8	0.121212121212121
@	l	#	20	0.121212121212121
2	s	k	4	0.121212121212121
 	u	z	4	0.121212121212121
 	5	S	4	0.121212121212121
 	{	z	4	0.121212121212121
 	i	 	4	0.121212121212121
_	9	l	12	0.121212121212121
{	p	r	19	0.121019108280255
I	t	1	74	0.120915032679739
p	2	p	22	0.120879120879121
d	E	v	18	0.120805369127517
3	s	H	7	0.120689655172414
I	S	m	17	0.120567375886525
V	l	f	10	0.120481927710843
#	t	@	32	0.120300751879699
s	i	z	16	0.120300751879699
m	@	l	64	0.120300751879699
E	l	p	19	0.120253164556962
r	E	k	110	0.120218579234973
@	s	f	9	0.12
i	p	$	3	0.12
N	h	$	3	0.12
t	@	p	36	0.12
@	v	4	6	0.12
r	I	T	6	0.12
r	7	w	3	0.12
$	Z	w	3	0.12
n	3	v	12	0.12
$	k	w	3	0.12
r	E	z	48	0.12
3	p	5	3	0.12
1	l	f	6	0.12
l	_	i	3	0.12
b	{	_	3	0.12
2	l	z	3	0.12
2	v	z	3	0.12
l	f	i	3	0.12
i	h	$	3	0.12
i	s	$	3	0.12
1	T	f	6	0.12
d	s	w	3	0.12
i	w	$	3	0.12
d	E	l	35	0.11986301369863
 	{	s	42	0.11965811965812
z	2	@	14	0.11965811965812
 	r	E	302	0.119462025316456
r	I	I	8	0.119402985074627
I	k	{	32	0.119402985074627
p	{	N	13	0.119266055045872
k	V	m	67	0.119217081850534
 	$	d	36	0.119205298013245
5	s	I	41	0.119186046511628
I	z	@	273	0.119058002616659
n	s	f	20	0.119047619047619
m	n	1	5	0.119047619047619
m	b	1	5	0.119047619047619
U	I	t	5	0.119047619047619
J	3	p	5	0.119047619047619
k	t	$	10	0.119047619047619
k	r	$	10	0.119047619047619
i	z	 	110	0.119047619047619
 	d	j	57	0.118997912317328
 	m	j	57	0.118997912317328
 	p	j	57	0.118997912317328
l	{	k	83	0.1189111747851
$	m	@	52	0.118721461187215
s	@	_	7	0.11864406779661
i	t	n	7	0.11864406779661
I	t	@	272	0.118621892716965
k	{	f	9	0.118421052631579
i	t	I	45	0.118421052631579
I	t	7	18	0.118421052631579
k	t	f	9	0.118421052631579
l	t	1	9	0.118421052631579
{	t	@	127	0.118359739049394
 	k	$	135	0.118317265556529
I	d	V	15	0.118110236220472
u	n	 	74	0.118022328548644
p	r	1	21	0.117977528089888
2	d	2	4	0.117647058823529
Q	k	S	6	0.117647058823529
$	r	#	2	0.117647058823529
n	f	6	4	0.117647058823529
l	p	6	2	0.117647058823529
8	h	5	2	0.117647058823529
J	i	t	4	0.117647058823529
f	I	J	2	0.117647058823529
l	b	5	6	0.117647058823529
1	m	Q	2	0.117647058823529
2	n	2	4	0.117647058823529
1	b	Q	2	0.117647058823529
1	T	Q	2	0.117647058823529
6	n	I	6	0.117647058823529
$	t	H	6	0.117647058823529
l	f	6	2	0.117647058823529
l	m	6	2	0.117647058823529
E	g	h	2	0.117647058823529
r	I	n	158	0.117559523809524
v	H	 	25	0.117370892018779
 	d	6	54	0.117136659436009
t	E	m	65	0.117117117117117
i	f	l	11	0.117021276595745
i	p	l	11	0.117021276595745
I	d	n	42	0.116991643454039
