Phon1	Phon2	Phon3	Count	Centered Prob(Phon2 | Phon1 ... Phon3)
h	2	@	13	0.928571428571429
u	@	R	13	0.928571428571429
9	r	1	13	0.928571428571429
v	I	N	62	0.925373134328358
j	u	S	36	0.923076923076923
@	n	g	12	0.923076923076923
V	n	d	228	0.923076923076923
@	n	S	22	0.916666666666667
d	I	N	146	0.9125
t	I	v	408	0.910714285714286
T	I	k	30	0.909090909090909
J	@	R	131	0.903448275862069
S	@	s	167	0.902702702702703
S	I	N	37	0.902439024390244
g	@	R	81	0.9
H	@	t	9	0.9
Z	H	 	62	0.898550724637681
D	@	m	17	0.894736842105263
2	I	N	17	0.894736842105263
t	@	R	678	0.893280632411067
j	U	1	25	0.892857142857143
6	n	t	108	0.892561983471074
d	j	u	98	0.890909090909091
m	j	9	8	0.888888888888889
k	t	j	8	0.888888888888889
7	n	t	31	0.885714285714286
t	I	N	262	0.885135135135135
v	I	Z	23	0.884615384615385
m	p	$	15	0.882352941176471
S	H	 	1339	0.882081686429513
8	r	@	52	0.88135593220339
j	u	@	29	0.878787878787879
T	r	i	14	0.875
P	2	z	7	0.875
s	j	9	7	0.875
P	s	t	7	0.875
6	n	d	153	0.874285714285714
m	j	u	101	0.870689655172414
{	N	g	105	0.867768595041322
@	n	t	1037	0.86488740617181
H	@	r	19	0.863636363636364
z	@	m	255	0.858585858585859
t	r	V	103	0.858333333333333
E	r	u	6	0.857142857142857
8	r	Q	6	0.857142857142857
b	j	U	36	0.857142857142857
2	z	1	100	0.854700854700855
S	I	1	29	0.852941176470588
I	n	v	74	0.850574712643678
I	n	_	84	0.848484848484849
n	j	9	39	0.847826086956522
z	@	R	54	0.84375
J	@	b	16	0.842105263157895
7	s	n	16	0.842105263157895
E	n	_	16	0.842105263157895
d	@	R	239	0.841549295774648
E	n	d	227	0.840740740740741
@	n	d	130	0.838709677419355
{	n	T	26	0.838709677419355
_	@	R	57	0.838235294117647
@	n	s	515	0.83739837398374
S	r	u	5	0.833333333333333
r	2	V	5	0.833333333333333
f	l	8	5	0.833333333333333
~	N	 	5	0.833333333333333
V	n	#	5	0.833333333333333
9	r	E	5	0.833333333333333
j	u	_	15	0.833333333333333
k	@	R	173	0.831730769230769
t	r	{	244	0.829931972789116
