Phon1	Phon2	Count	Phon1 Count	Prob(Phon2|Phon1)
_	f	4	2114	0.00189214758751183
s	g	31	16407	0.00188943743524106
n	u	30	15926	0.00188371216878061
H	T	4	2124	0.00188323917137476
H	S	4	2124	0.00188323917137476
l	J	26	13977	0.00186019889818988
k	h	23	12444	0.00184828029572485
2	i	7	3805	0.00183968462549277
2	V	7	3805	0.00183968462549277
2	J	7	3805	0.00183968462549277
2	E	7	3805	0.00183968462549277
 	z	71	38731	0.00183315690273941
f	w	9	4950	0.00181818181818182
5	$	7	3894	0.00179763739085773
i	j	6	3341	0.00179586950014966
p	d	15	8362	0.00179382922745755
3	 	3	1680	0.00178571428571429
v	t	6	3374	0.001778304682869
6	_	2	1134	0.0017636684303351
6	S	2	1134	0.0017636684303351
6	w	2	1134	0.0017636684303351
6	p	2	1134	0.0017636684303351
z	f	5	2841	0.00175994368180218
z	v	5	2841	0.00175994368180218
l	T	24	13977	0.0017171066752522
d	d	16	9348	0.00171159606332905
s	s	28	16407	0.00170658865118547
b	v	10	5896	0.00169606512890095
n	8	27	15926	0.00169534095190255
n	6	27	15926	0.00169534095190255
p	H	14	8362	0.00167424061229371
r	9	20	12132	0.00164853280580284
l	S	23	13977	0.00164556056378336
l	r	23	13977	0.00164556056378336
l	9	23	13977	0.00164556056378336
N	6	4	2456	0.00162866449511401
N	V	4	2456	0.00162866449511401
1	5	8	4913	0.00162833299409729
V	T	6	3685	0.00162822252374491
8	Z	1	618	0.00161812297734628
k	4	20	12444	0.00160720025715204
d	8	15	9348	0.00160462130937099
m	k	13	8176	0.00159001956947162
m	t	13	8176	0.00159001956947162
u	5	4	2516	0.00158982511923688
u	w	4	2516	0.00158982511923688
u	1	4	2516	0.00158982511923688
l	l	22	13977	0.00157401445231452
r	8	19	12132	0.00156610616551269
j	I	4	2577	0.00155219247186651
g	Z	5	3223	0.00155134967421657
g	7	5	3223	0.00155134967421657
g	i	5	3223	0.00155134967421657
g	f	5	3223	0.00155134967421657
w	6	4	2582	0.00154918667699458
$	Z	4	2595	0.00154142581888247
J	4	2	1306	0.00153139356814701
t	d	27	17750	0.00152112676056338
i	{	5	3341	0.00149655791679138
v	D	5	3374	0.0014819205690575
I	Z	39	26488	0.00147236484445787
k	f	18	12444	0.00144648023143684
n	4	23	15926	0.00144417932939847
l	U	20	13977	0.00143092222937683
@	J	26	18210	0.0014277869302581
1	Q	7	4913	0.00142479136983513
 	D	55	38731	0.00142005112184039
_	n	3	2114	0.00141911069063387
_	r	3	2114	0.00141911069063387
_	k	3	2114	0.00141911069063387
U	Q	2	1413	0.00141542816702052
U	 	2	1413	0.00141542816702052
U	5	2	1413	0.00141542816702052
U	8	2	1413	0.00141542816702052
H	2	3	2124	0.00141242937853107
H	p	3	2124	0.00141242937853107
t	t	25	17750	0.00140845070422535
z	g	4	2841	0.00140795494544175
S	h	5	3569	0.0014009526478005
S	p	5	3569	0.0014009526478005
I	w	37	26488	0.00139685895499849
 	3	54	38731	0.0013942320105342
#	Q	3	2179	0.00137677833868747
#	5	3	2179	0.00137677833868747
k	p	17	12444	0.00136612021857923
k	d	17	12444	0.00136612021857923
I	D	36	26488	0.0013591060102688
m	h	11	8176	0.0013454011741683
P	E	3	2276	0.00131810193321617
g	k	4	3223	0.00124107973937325
m	r	10	8176	0.00122309197651663
m	8	10	8176	0.00122309197651663
f	m	6	4950	0.00121212121212121
i	i	4	3341	0.0011972463334331
u	#	3	2516	0.00119236883942766
v	q	4	3374	0.001185536455246
v	b	4	3374	0.001185536455246
w	4	3	2582	0.00116189000774593
s	T	19	16407	0.00115804229901871
$	@	3	2595	0.00115606936416185
l	w	16	13977	0.00114473778350147
{	Z	7	6183	0.00113213650331554
k	k	14	12444	0.00112504018000643
Q	D	5	4451	0.00112334306897326
S	f	4	3569	0.0011207621182404
m	S	9	8176	0.00110078277886497
I	I	28	26488	0.00105708245243129
z	6	3	2841	0.00105596620908131
z	h	3	2841	0.00105596620908131
z	t	3	2841	0.00105596620908131
z	8	3	2841	0.00105596620908131
2	h	4	3805	0.00105124835742444
2	1	4	3805	0.00105124835742444
T	J	1	960	0.00104166666666667
T	d	1	960	0.00104166666666667
T	S	1	960	0.00104166666666667
5	i	4	3894	0.00102722136620442
5	j	4	3894	0.00102722136620442
5	1	4	3894	0.00102722136620442
I	E	27	26488	0.0010193295077016
1	r	5	4913	0.00101770812131081
1	E	5	4913	0.00101770812131081
1	h	5	4913	0.00101770812131081
b	w	6	5896	0.00101763907734057
b	h	6	5896	0.00101763907734057
m	4	8	8176	0.000978473581213307
d	g	9	9348	0.000962772785622593
t	g	17	17750	0.000957746478873239
_	b	2	2114	0.000946073793755913
_	g	2	2114	0.000946073793755913
H	f	2	2124	0.000941619585687382
g	9	3	3223	0.000930809804529941
g	4	3	3223	0.000930809804529941
#	7	2	2179	0.000917852225791648
t	9	16	17750	0.000901408450704225
i	#	3	3341	0.000897934750074828
i	$	3	3341	0.000897934750074828
v	u	3	3374	0.000889152341434499
v	k	3	3374	0.000889152341434499
v	f	3	3374	0.000889152341434499
6	E	1	1134	0.000881834215167548
6	v	1	1134	0.000881834215167548
6	k	1	1134	0.000881834215167548
6	g	1	1134	0.000881834215167548
6	U	1	1134	0.000881834215167548
P	J	2	2276	0.000878734622144112
P	_	2	2276	0.000878734622144112
s	d	14	16407	0.000853294325592735
b	9	5	5896	0.000848032564450475
b	f	5	5896	0.000848032564450475
t	S	15	17750	0.000845070422535211
S	j	3	3569	0.000840571588680303
S	d	3	3569	0.000840571588680303
p	g	7	8362	0.000837120306146855
N	5	2	2456	0.000814332247557003
7	{	1	1233	0.0008110300081103
7	_	1	1233	0.0008110300081103
f	S	4	4950	0.000808080808080808
u	6	2	2516	0.000794912559618442
u	3	2	2516	0.000794912559618442
u	$	2	2516	0.000794912559618442
t	4	14	17750	0.000788732394366197
2	j	3	3805	0.000788436268068331
2	T	3	3805	0.000788436268068331
2	S	3	3805	0.000788436268068331
j	8	2	2577	0.000776096235933256
j	6	2	2577	0.000776096235933256
$	j	2	2595	0.000770712909441233
5	3	3	3894	0.000770416024653313
5	V	3	3894	0.000770416024653313
J	J	1	1306	0.000765696784073507
J	j	1	1306	0.000765696784073507
t	T	13	17750	0.000732394366197183
s	U	12	16407	0.000731395136222344
k	7	9	12444	0.000723240115718419
U	N	1	1413	0.000707714083510262
U	_	1	1413	0.000707714083510262
U	#	1	1413	0.000707714083510262
z	s	2	2841	0.000703977472720873
g	~	2	3223	0.000620539869686627
g	S	2	3223	0.000620539869686627
m	m	5	8176	0.000611545988258317
1	w	3	4913	0.000610624872786485
i	V	2	3341	0.000598623166716552
p	9	5	8362	0.000597943075819182
p	p	5	8362	0.000597943075819182
v	U	2	3374	0.000592768227622999
S	S	2	3569	0.000560381059120202
s	4	9	16407	0.000548546352166758
 	4	21	38731	0.000542201337429966
2	2	2	3805	0.000525624178712221
 	7	20	38731	0.000516382226123777
5	#	2	3894	0.000513610683102209
m	T	4	8176	0.000489236790606654
m	q	4	8176	0.000489236790606654
m	U	4	8176	0.000489236790606654
s	_	8	16407	0.000487596757481563
_	t	1	2114	0.000473036896877956
_	H	1	2114	0.000473036896877956
h	9	1	2114	0.000473036896877956
h	F	1	2114	0.000473036896877956
H	k	1	2124	0.000470809792843691
H	g	1	2124	0.000470809792843691
H	8	1	2124	0.000470809792843691
#	@	1	2179	0.000458926112895824
#	j	1	2179	0.000458926112895824
I	#	12	26488	0.000453035336756267
Q	@	2	4451	0.000449337227589306
P	1	1	2276	0.000439367311072056
P	T	1	2276	0.000439367311072056
P	v	1	2276	0.000439367311072056
P	{	1	2276	0.000439367311072056
d	T	4	9348	0.000427899015832264
d	4	4	9348	0.000427899015832264
s	S	7	16407	0.000426647162796367
N	2	1	2456	0.000407166123778502
N	J	1	2456	0.000407166123778502
N	_	1	2456	0.000407166123778502
N	1	1	2456	0.000407166123778502
N	#	1	2456	0.000407166123778502
N	Q	1	2456	0.000407166123778502
1	6	2	4913	0.000407083248524323
1	{	2	4913	0.000407083248524323
1	i	2	4913	0.000407083248524323
1	#	2	4913	0.000407083248524323
1	1	2	4913	0.000407083248524323
u	R	1	2516	0.000397456279809221
u	2	1	2516	0.000397456279809221
u	8	1	2516	0.000397456279809221
u	{	1	2516	0.000397456279809221
u	r	1	2516	0.000397456279809221
u	i	1	2516	0.000397456279809221
j	w	1	2577	0.000388048117966628
j	~	1	2577	0.000388048117966628
w	0	1	2582	0.000387296669248644
$	v	1	2595	0.000385356454720617
m	_	3	8176	0.00036692759295499
m	9	3	8176	0.00036692759295499
m	v	3	8176	0.00036692759295499
z	q	1	2841	0.000351988736360436
z	U	1	2841	0.000351988736360436
z	F	1	2841	0.000351988736360436
z	S	1	2841	0.000351988736360436
z	_	1	2841	0.000351988736360436
z	4	1	2841	0.000351988736360436
b	p	2	5896	0.00033921302578019
b	g	2	5896	0.00033921302578019
k	g	4	12444	0.000321440051430408
k	T	4	12444	0.000321440051430408
d	9	3	9348	0.000320924261874198
d	J	3	9348	0.000320924261874198
d	U	3	9348	0.000320924261874198
n	D	5	15926	0.000313952028130102
g	_	1	3223	0.000310269934843314
i	6	1	3341	0.000299311583358276
v	h	1	3374	0.0002963841138115
v	_	1	3374	0.0002963841138115
v	J	1	3374	0.0002963841138115
v	p	1	3374	0.0002963841138115
v	9	1	3374	0.0002963841138115
S	q	1	3569	0.000280190529560101
S	s	1	3569	0.000280190529560101
S	J	1	3569	0.000280190529560101
V	 	1	3685	0.000271370420624152
V	x	1	3685	0.000271370420624152
2	6	1	3805	0.00026281208935611
2	#	1	3805	0.00026281208935611
2	u	1	3805	0.00026281208935611
2	3	1	3805	0.00026281208935611
5	6	1	3894	0.000256805341551104
r	3	3	12132	0.000247279920870425
s	q	4	16407	0.000243798378740781
k	H	3	12444	0.000241080038572806
p	q	2	8362	0.000239177230327673
p	T	2	8362	0.000239177230327673
p	_	2	8362	0.000239177230327673
t	U	4	17750	0.000225352112676056
t	_	4	17750	0.000225352112676056
d	D	2	9348	0.000213949507916132
 	u	8	38731	0.000206552890449511
1	$	1	4913	0.000203541624262162
1	q	1	4913	0.000203541624262162
1	j	1	4913	0.000203541624262162
f	v	1	4950	0.000202020202020202
f	D	1	4950	0.000202020202020202
f	q	1	4950	0.000202020202020202
f	_	1	4950	0.000202020202020202
I	8	5	26488	0.000188764723648445
n	U	3	15926	0.000188371216878061
n	Z	3	15926	0.000188371216878061
s	9	3	16407	0.000182848784055586
s	v	3	16407	0.000182848784055586
b	~	1	5896	0.000169606512890095
b	S	1	5896	0.000169606512890095
t	J	3	17750	0.000169014084507042
t	q	3	17750	0.000169014084507042
r	w	2	12132	0.000164853280580284
@	D	3	18210	0.000164744645799012
@	j	3	18210	0.000164744645799012
k	_	2	12444	0.000160720025715204
I	@	4	26488	0.000151011778918756
I	2	4	26488	0.000151011778918756
I	$	4	26488	0.000151011778918756
l	q	2	13977	0.000143092222937683
l	~	2	13977	0.000143092222937683
m	J	1	8176	0.000122309197651663
m	~	1	8176	0.000122309197651663
m	g	1	8176	0.000122309197651663
s	8	2	16407	0.000121899189370391
p	0	1	8362	0.000119588615163836
p	v	1	8362	0.000119588615163836
I	i	3	26488	0.000113258834189067
I	j	3	26488	0.000113258834189067
@	N	2	18210	0.000109829763866008
d	_	1	9348	0.000106974753958066
 	Z	4	38731	0.000103276445224755
r	j	1	12132	8.24266402901418e-05
r	~	1	12132	8.24266402901418e-05
k	v	1	12444	8.03600128576021e-05
k	9	1	12444	8.03600128576021e-05
k	q	1	12444	8.03600128576021e-05
 	q	3	38731	7.74573339185665e-05
I	q	2	26488	7.55058894593778e-05
l	D	1	13977	7.15461114688417e-05
l	0	1	13977	7.15461114688417e-05
s	~	1	16407	6.09495946851953e-05
s	F	1	16407	6.09495946851953e-05
t	v	1	17750	5.63380281690141e-05
t	c	1	17750	5.63380281690141e-05
@	I	1	18210	5.49148819330038e-05
@	Z	1	18210	5.49148819330038e-05
 	9	2	38731	5.16382226123777e-05
 	U	2	38731	5.16382226123777e-05
I	V	1	26488	3.77529447296889e-05
I	6	1	26488	3.77529447296889e-05
I	~	1	26488	3.77529447296889e-05
 	c	1	38731	2.58191113061888e-05
 	~	1	38731	2.58191113061888e-05
