Phon1	Phon2	Count	Phon1 Count	Prob(Phon2|Phon1)
Q	z	47	4451	0.0105594248483487
n	v	168	15926	0.0105487881451714
P	@	24	2276	0.0105448154657293
s	Q	173	16407	0.0105442798805388
m	l	86	8176	0.0105185909980431
j	E	27	2577	0.010477299185099
s	1	171	16407	0.0104223806911684
k	6	129	12444	0.0103664416586307
Q	J	46	4451	0.010334756234554
r	$	125	12132	0.0103033300362677
d	z	96	9348	0.0102695763799743
Z	i	2	195	0.0102564102564103
Z	P	2	195	0.0102564102564103
z	2	29	2841	0.0102076733544527
1	@	50	4913	0.0101770812131081
p	P	85	8362	0.0101650322889261
v	d	34	3374	0.010077059869591
w	5	26	2582	0.0100697134004648
V	J	37	3685	0.0100407055630936
J	l	13	1306	0.00995405819295559
@	g	181	18210	0.00993959362987369
_	1	21	2114	0.00993377483443709
U	{	14	1413	0.00990799716914367
z	b	28	2841	0.00985568461809222
N	h	24	2456	0.00977198697068404
N	@	24	2456	0.00977198697068404
V	D	36	3685	0.00976933514246947
4	f	4	410	0.00975609756097561
4	k	4	410	0.00975609756097561
d	n	91	9348	0.009734702610184
s	5	159	16407	0.00969098555494606
#	Z	21	2179	0.0096374483708123
I	r	252	26488	0.00951374207188161
v	4	32	3374	0.00948429164196799
_	$	20	2114	0.00946073793755913
_	5	20	2114	0.00946073793755913
H	l	20	2124	0.00941619585687382
T	s	9	960	0.009375
l	$	131	13977	0.00937254060241826
g	2	30	3223	0.00930809804529941
n	J	147	15926	0.00923018962702499
U	s	13	1413	0.0092002830856334
d	$	86	9348	0.00919982884039367
d	H	86	9348	0.00919982884039367
D	s	3	328	0.00914634146341463
D	2	3	328	0.00914634146341463
f	P	45	4950	0.00909090909090909
g	U	29	3223	0.0089978281104561
S	V	32	3569	0.00896609694592323
7	T	11	1233	0.0089213300892133
7	f	11	1233	0.0089213300892133
n	l	142	15926	0.00891623759889489
 	J	345	38731	0.00890759340063515
b	4	52	5896	0.00881953867028494
z	7	25	2841	0.00879971840901091
z	5	25	2841	0.00879971840901091
@	v	160	18210	0.00878638110928062
u	_	22	2516	0.00874403815580286
n	i	139	15926	0.00872786638201683
#	D	19	2179	0.00871959614502065
t	V	153	17750	0.00861971830985915
v	#	29	3374	0.00859513930053349
s	H	141	16407	0.00859389285061254
N	I	21	2456	0.00855048859934853
_	7	18	2114	0.00851466414380322
U	n	12	1413	0.00849256900212314
p	4	71	8362	0.00849079167663238
V	z	31	3685	0.00841248303934871
S	m	30	3569	0.00840571588680303
g	3	27	3223	0.00837728824076947
P	s	19	2276	0.00834797891036907
T	H	8	960	0.00833333333333333
