Phon1	Phon2	Count	Prob(Phon1Phon2)
S	8	11	3.72293258784429e-05
8	n	11	3.72293258784429e-05
m	h	11	3.72293258784429e-05
N	f	11	3.72293258784429e-05
7	T	11	3.72293258784429e-05
f	g	11	3.72293258784429e-05
8	t	11	3.72293258784429e-05
N	T	11	3.72293258784429e-05
z	w	11	3.72293258784429e-05
#	h	11	3.72293258784429e-05
T	n	11	3.72293258784429e-05
U	E	10	3.38448417076753e-05
D	d	10	3.38448417076753e-05
f	d	10	3.38448417076753e-05
D	z	10	3.38448417076753e-05
m	8	10	3.38448417076753e-05
b	v	10	3.38448417076753e-05
m	r	10	3.38448417076753e-05
J	w	10	3.38448417076753e-05
J	u	10	3.38448417076753e-05
_	l	10	3.38448417076753e-05
5	w	10	3.38448417076753e-05
s	4	9	3.04603575369078e-05
H	h	9	3.04603575369078e-05
f	w	9	3.04603575369078e-05
P	f	9	3.04603575369078e-05
T	s	9	3.04603575369078e-05
S	6	9	3.04603575369078e-05
4	I	9	3.04603575369078e-05
k	7	9	3.04603575369078e-05
d	g	9	3.04603575369078e-05
S	w	9	3.04603575369078e-05
8	m	9	3.04603575369078e-05
P	2	9	3.04603575369078e-05
J	d	9	3.04603575369078e-05
z	k	9	3.04603575369078e-05
D	{	9	3.04603575369078e-05
P	k	9	3.04603575369078e-05
m	S	9	3.04603575369078e-05
J	5	9	3.04603575369078e-05
g	b	8	2.70758733661403e-05
U	f	8	2.70758733661403e-05
 	u	8	2.70758733661403e-05
j	7	8	2.70758733661403e-05
j	3	8	2.70758733661403e-05
s	_	8	2.70758733661403e-05
J	f	8	2.70758733661403e-05
T	5	8	2.70758733661403e-05
U	J	8	2.70758733661403e-05
P	j	8	2.70758733661403e-05
z	p	8	2.70758733661403e-05
g	p	8	2.70758733661403e-05
m	4	8	2.70758733661403e-05
i	2	8	2.70758733661403e-05
H	w	8	2.70758733661403e-05
N	w	8	2.70758733661403e-05
j	1	8	2.70758733661403e-05
1	5	8	2.70758733661403e-05
S	k	8	2.70758733661403e-05
T	H	8	2.70758733661403e-05
u	h	8	2.70758733661403e-05
J	n	8	2.70758733661403e-05
P	h	8	2.70758733661403e-05
2	V	7	2.36913891953727e-05
g	t	7	2.36913891953727e-05
p	g	7	2.36913891953727e-05
6	I	7	2.36913891953727e-05
z	u	7	2.36913891953727e-05
g	h	7	2.36913891953727e-05
v	w	7	2.36913891953727e-05
2	E	7	2.36913891953727e-05
J	$	7	2.36913891953727e-05
z	n	7	2.36913891953727e-05
T	t	7	2.36913891953727e-05
1	Q	7	2.36913891953727e-05
N	n	7	2.36913891953727e-05
2	J	7	2.36913891953727e-05
v	s	7	2.36913891953727e-05
7	w	7	2.36913891953727e-05
9	m	7	2.36913891953727e-05
i	Q	7	2.36913891953727e-05
g	s	7	2.36913891953727e-05
T	m	7	2.36913891953727e-05
{	Z	7	2.36913891953727e-05
i	Z	7	2.36913891953727e-05
2	i	7	2.36913891953727e-05
_	w	7	2.36913891953727e-05
s	S	7	2.36913891953727e-05
j	i	7	2.36913891953727e-05
J	k	7	2.36913891953727e-05
5	$	7	2.36913891953727e-05
~	N	6	2.03069050246052e-05
$	D	6	2.03069050246052e-05
T	p	6	2.03069050246052e-05
V	T	6	2.03069050246052e-05
J	p	6	2.03069050246052e-05
v	t	6	2.03069050246052e-05
9	d	6	2.03069050246052e-05
D	1	6	2.03069050246052e-05
N	m	6	2.03069050246052e-05
6	D	6	2.03069050246052e-05
b	h	6	2.03069050246052e-05
D	m	6	2.03069050246052e-05
P	g	6	2.03069050246052e-05
i	j	6	2.03069050246052e-05
T	b	6	2.03069050246052e-05
U	@	6	2.03069050246052e-05
U	z	6	2.03069050246052e-05
f	m	6	2.03069050246052e-05
T	2	6	2.03069050246052e-05
9	b	6	2.03069050246052e-05
7	g	6	2.03069050246052e-05
J	h	6	2.03069050246052e-05
#	w	6	2.03069050246052e-05
j	V	6	2.03069050246052e-05
b	w	6	2.03069050246052e-05
T	6	6	2.03069050246052e-05
S	h	5	1.69224208538377e-05
D	E	5	1.69224208538377e-05
P	l	5	1.69224208538377e-05
h	4	5	1.69224208538377e-05
T	k	5	1.69224208538377e-05
b	9	5	1.69224208538377e-05
i	{	5	1.69224208538377e-05
g	f	5	1.69224208538377e-05
8	h	5	1.69224208538377e-05
p	p	5	1.69224208538377e-05
1	h	5	1.69224208538377e-05
_	s	5	1.69224208538377e-05
Z	1	5	1.69224208538377e-05
S	p	5	1.69224208538377e-05
8	p	5	1.69224208538377e-05
g	i	5	1.69224208538377e-05
b	f	5	1.69224208538377e-05
g	7	5	1.69224208538377e-05
7	z	5	1.69224208538377e-05
N	S	5	1.69224208538377e-05
z	f	5	1.69224208538377e-05
Q	D	5	1.69224208538377e-05
4	m	5	1.69224208538377e-05
H	n	5	1.69224208538377e-05
7	p	5	1.69224208538377e-05
1	r	5	1.69224208538377e-05
T	#	5	1.69224208538377e-05
v	D	5	1.69224208538377e-05
_	h	5	1.69224208538377e-05
n	D	5	1.69224208538377e-05
z	v	5	1.69224208538377e-05
P	p	5	1.69224208538377e-05
p	9	5	1.69224208538377e-05
u	j	5	1.69224208538377e-05
P	S	5	1.69224208538377e-05
g	Z	5	1.69224208538377e-05
I	8	5	1.69224208538377e-05
m	m	5	1.69224208538377e-05
$	I	5	1.69224208538377e-05
1	E	5	1.69224208538377e-05
_	f	4	1.35379366830701e-05
k	T	4	1.35379366830701e-05
u	1	4	1.35379366830701e-05
N	6	4	1.35379366830701e-05
H	S	4	1.35379366830701e-05
J	g	4	1.35379366830701e-05
5	1	4	1.35379366830701e-05
z	g	4	1.35379366830701e-05
f	S	4	1.35379366830701e-05
D	l	4	1.35379366830701e-05
k	g	4	1.35379366830701e-05
Z	j	4	1.35379366830701e-05
v	b	4	1.35379366830701e-05
u	w	4	1.35379366830701e-05
m	U	4	1.35379366830701e-05
8	S	4	1.35379366830701e-05
I	$	4	1.35379366830701e-05
m	q	4	1.35379366830701e-05
N	V	4	1.35379366830701e-05
d	4	4	1.35379366830701e-05
t	_	4	1.35379366830701e-05
d	T	4	1.35379366830701e-05
t	U	4	1.35379366830701e-05
I	2	4	1.35379366830701e-05
m	T	4	1.35379366830701e-05
7	k	4	1.35379366830701e-05
w	6	4	1.35379366830701e-05
8	v	4	1.35379366830701e-05
j	I	4	1.35379366830701e-05
H	T	4	1.35379366830701e-05
D	5	4	1.35379366830701e-05
5	i	4	1.35379366830701e-05
I	@	4	1.35379366830701e-05
D	i	4	1.35379366830701e-05
T	1	4	1.35379366830701e-05
D	H	4	1.35379366830701e-05
$	Z	4	1.35379366830701e-05
_	j	4	1.35379366830701e-05
u	5	4	1.35379366830701e-05
2	h	4	1.35379366830701e-05
4	f	4	1.35379366830701e-05
i	i	4	1.35379366830701e-05
g	k	4	1.35379366830701e-05
v	q	4	1.35379366830701e-05
S	f	4	1.35379366830701e-05
s	q	4	1.35379366830701e-05
5	j	4	1.35379366830701e-05
4	k	4	1.35379366830701e-05
6	m	4	1.35379366830701e-05
2	1	4	1.35379366830701e-05
J	s	4	1.35379366830701e-05
 	Z	4	1.35379366830701e-05
_	p	4	1.35379366830701e-05
_	6	4	1.35379366830701e-05
s	v	3	1.01534525123026e-05
D	2	3	1.01534525123026e-05
Z	q	3	1.01534525123026e-05
I	i	3	1.01534525123026e-05
8	 	3	1.01534525123026e-05
S	d	3	1.01534525123026e-05
U	w	3	1.01534525123026e-05
g	4	3	1.01534525123026e-05
6	r	3	1.01534525123026e-05
_	r	3	1.01534525123026e-05
S	j	3	1.01534525123026e-05
#	5	3	1.01534525123026e-05
t	J	3	1.01534525123026e-05
t	q	3	1.01534525123026e-05
_	k	3	1.01534525123026e-05
3	 	3	1.01534525123026e-05
@	D	3	1.01534525123026e-05
2	S	3	1.01534525123026e-05
6	h	3	1.01534525123026e-05
 	q	3	1.01534525123026e-05
~	n	3	1.01534525123026e-05
Z	w	3	1.01534525123026e-05
v	f	3	1.01534525123026e-05
I	j	3	1.01534525123026e-05
r	3	3	1.01534525123026e-05
u	#	3	1.01534525123026e-05
n	Z	3	1.01534525123026e-05
7	h	3	1.01534525123026e-05
z	8	3	1.01534525123026e-05
7	S	3	1.01534525123026e-05
J	6	3	1.01534525123026e-05
z	h	3	1.01534525123026e-05
6	b	3	1.01534525123026e-05
z	t	3	1.01534525123026e-05
n	U	3	1.01534525123026e-05
m	v	3	1.01534525123026e-05
@	j	3	1.01534525123026e-05
v	k	3	1.01534525123026e-05
2	j	3	1.01534525123026e-05
5	V	3	1.01534525123026e-05
g	9	3	1.01534525123026e-05
z	6	3	1.01534525123026e-05
P	E	3	1.01534525123026e-05
v	u	3	1.01534525123026e-05
m	_	3	1.01534525123026e-05
5	3	3	1.01534525123026e-05
D	s	3	1.01534525123026e-05
d	J	3	1.01534525123026e-05
s	9	3	1.01534525123026e-05
H	2	3	1.01534525123026e-05
i	#	3	1.01534525123026e-05
$	@	3	1.01534525123026e-05
T	P	3	1.01534525123026e-05
w	4	3	1.01534525123026e-05
k	H	3	1.01534525123026e-05
d	9	3	1.01534525123026e-05
8	g	3	1.01534525123026e-05
m	9	3	1.01534525123026e-05
#	Q	3	1.01534525123026e-05
2	T	3	1.01534525123026e-05
_	n	3	1.01534525123026e-05
d	U	3	1.01534525123026e-05
F	 	3	1.01534525123026e-05
i	$	3	1.01534525123026e-05
7	v	3	1.01534525123026e-05
1	w	3	1.01534525123026e-05
9	t	3	1.01534525123026e-05
H	p	3	1.01534525123026e-05
Z	P	2	6.76896834153507e-06
b	p	2	6.76896834153507e-06
j	6	2	6.76896834153507e-06
2	2	2	6.76896834153507e-06
D	$	2	6.76896834153507e-06
4	N	2	6.76896834153507e-06
i	V	2	6.76896834153507e-06
u	3	2	6.76896834153507e-06
6	S	2	6.76896834153507e-06
~	m	2	6.76896834153507e-06
4	{	2	6.76896834153507e-06
l	~	2	6.76896834153507e-06
4	E	2	6.76896834153507e-06
g	S	2	6.76896834153507e-06
d	D	2	6.76896834153507e-06
@	N	2	6.76896834153507e-06
6	w	2	6.76896834153507e-06
6	p	2	6.76896834153507e-06
U	8	2	6.76896834153507e-06
_	g	2	6.76896834153507e-06
z	s	2	6.76896834153507e-06
1	1	2	6.76896834153507e-06
r	w	2	6.76896834153507e-06
 	U	2	6.76896834153507e-06
I	q	2	6.76896834153507e-06
b	g	2	6.76896834153507e-06
p	_	2	6.76896834153507e-06
u	$	2	6.76896834153507e-06
1	#	2	6.76896834153507e-06
Q	@	2	6.76896834153507e-06
$	j	2	6.76896834153507e-06
v	U	2	6.76896834153507e-06
_	b	2	6.76896834153507e-06
1	i	2	6.76896834153507e-06
D	6	2	6.76896834153507e-06
J	4	2	6.76896834153507e-06
p	q	2	6.76896834153507e-06
5	#	2	6.76896834153507e-06
p	T	2	6.76896834153507e-06
u	6	2	6.76896834153507e-06
s	8	2	6.76896834153507e-06
U	Q	2	6.76896834153507e-06
1	{	2	6.76896834153507e-06
1	6	2	6.76896834153507e-06
S	S	2	6.76896834153507e-06
H	f	2	6.76896834153507e-06
9	 	2	6.76896834153507e-06
P	J	2	6.76896834153507e-06
P	_	2	6.76896834153507e-06
j	8	2	6.76896834153507e-06
0	n	2	6.76896834153507e-06
U	5	2	6.76896834153507e-06
k	_	2	6.76896834153507e-06
4	b	2	6.76896834153507e-06
Z	i	2	6.76896834153507e-06
l	q	2	6.76896834153507e-06
 	9	2	6.76896834153507e-06
6	_	2	6.76896834153507e-06
U	 	2	6.76896834153507e-06
g	~	2	6.76896834153507e-06
N	5	2	6.76896834153507e-06
#	7	2	6.76896834153507e-06
9	_	2	6.76896834153507e-06
b	S	1	3.38448417076753e-06
9	z	1	3.38448417076753e-06
4	r	1	3.38448417076753e-06
x	 	1	3.38448417076753e-06
p	0	1	3.38448417076753e-06
h	F	1	3.38448417076753e-06
S	s	1	3.38448417076753e-06
N	Q	1	3.38448417076753e-06
6	g	1	3.38448417076753e-06
v	p	1	3.38448417076753e-06
m	~	1	3.38448417076753e-06
v	J	1	3.38448417076753e-06
D	b	1	3.38448417076753e-06
H	g	1	3.38448417076753e-06
z	U	1	3.38448417076753e-06
m	g	1	3.38448417076753e-06
 	~	1	3.38448417076753e-06
N	#	1	3.38448417076753e-06
U	#	1	3.38448417076753e-06
f	q	1	3.38448417076753e-06
k	9	1	3.38448417076753e-06
u	i	1	3.38448417076753e-06
8	Z	1	3.38448417076753e-06
h	9	1	3.38448417076753e-06
D	f	1	3.38448417076753e-06
N	1	1	3.38448417076753e-06
N	_	1	3.38448417076753e-06
f	D	1	3.38448417076753e-06
z	_	1	3.38448417076753e-06
i	6	1	3.38448417076753e-06
1	j	1	3.38448417076753e-06
r	~	1	3.38448417076753e-06
z	S	1	3.38448417076753e-06
l	0	1	3.38448417076753e-06
P	{	1	3.38448417076753e-06
p	v	1	3.38448417076753e-06
z	4	1	3.38448417076753e-06
g	_	1	3.38448417076753e-06
q	m	1	3.38448417076753e-06
1	q	1	3.38448417076753e-06
c	m	1	3.38448417076753e-06
6	U	1	3.38448417076753e-06
t	c	1	3.38448417076753e-06
5	6	1	3.38448417076753e-06
S	J	1	3.38448417076753e-06
4	h	1	3.38448417076753e-06
D	V	1	3.38448417076753e-06
4	1	1	3.38448417076753e-06
Z	u	1	3.38448417076753e-06
v	9	1	3.38448417076753e-06
J	j	1	3.38448417076753e-06
9	w	1	3.38448417076753e-06
z	F	1	3.38448417076753e-06
T	S	1	3.38448417076753e-06
4	S	1	3.38448417076753e-06
k	q	1	3.38448417076753e-06
l	D	1	3.38448417076753e-06
H	8	1	3.38448417076753e-06
P	v	1	3.38448417076753e-06
w	0	1	3.38448417076753e-06
D	h	1	3.38448417076753e-06
f	_	1	3.38448417076753e-06
2	3	1	3.38448417076753e-06
7	{	1	3.38448417076753e-06
S	q	1	3.38448417076753e-06
D	P	1	3.38448417076753e-06
_	t	1	3.38448417076753e-06
j	w	1	3.38448417076753e-06
4	5	1	3.38448417076753e-06
D	t	1	3.38448417076753e-06
j	~	1	3.38448417076753e-06
u	8	1	3.38448417076753e-06
J	J	1	3.38448417076753e-06
2	#	1	3.38448417076753e-06
c	n	1	3.38448417076753e-06
s	F	1	3.38448417076753e-06
N	2	1	3.38448417076753e-06
@	Z	1	3.38448417076753e-06
V	x	1	3.38448417076753e-06
Z	U	1	3.38448417076753e-06
1	$	1	3.38448417076753e-06
6	E	1	3.38448417076753e-06
U	N	1	3.38448417076753e-06
 	c	1	3.38448417076753e-06
z	q	1	3.38448417076753e-06
4	i	1	3.38448417076753e-06
I	V	1	3.38448417076753e-06
#	@	1	3.38448417076753e-06
b	~	1	3.38448417076753e-06
f	v	1	3.38448417076753e-06
u	R	1	3.38448417076753e-06
@	I	1	3.38448417076753e-06
0	N	1	3.38448417076753e-06
Z	8	1	3.38448417076753e-06
$	v	1	3.38448417076753e-06
u	2	1	3.38448417076753e-06
s	~	1	3.38448417076753e-06
V	 	1	3.38448417076753e-06
2	6	1	3.38448417076753e-06
v	h	1	3.38448417076753e-06
Z	E	1	3.38448417076753e-06
I	~	1	3.38448417076753e-06
N	J	1	3.38448417076753e-06
P	T	1	3.38448417076753e-06
_	H	1	3.38448417076753e-06
u	r	1	3.38448417076753e-06
4	p	1	3.38448417076753e-06
D	n	1	3.38448417076753e-06
Z	I	1	3.38448417076753e-06
H	k	1	3.38448417076753e-06
T	d	1	3.38448417076753e-06
d	_	1	3.38448417076753e-06
u	{	1	3.38448417076753e-06
6	k	1	3.38448417076753e-06
#	j	1	3.38448417076753e-06
P	1	1	3.38448417076753e-06
I	6	1	3.38448417076753e-06
2	u	1	3.38448417076753e-06
r	j	1	3.38448417076753e-06
k	v	1	3.38448417076753e-06
7	_	1	3.38448417076753e-06
v	_	1	3.38448417076753e-06
T	J	1	3.38448417076753e-06
U	_	1	3.38448417076753e-06
6	v	1	3.38448417076753e-06
t	v	1	3.38448417076753e-06
D	r	1	3.38448417076753e-06
m	J	1	3.38448417076753e-06
