Phon1	Phon2	Phon3	Count	Phon1Phon2 Count	Prob(Phon3|Phon1Phon2)
 	c	n	1	1	1
Q	D	@	5	5	1
1	q	n	1	1	1
N	Q	n	1	1	1
#	R	 	94	94	1
6	g	3	1	1	1
$	R	 	174	174	1
_	n	I	3	3	1
v	D	@	5	5	1
m	g	r	1	1	1
N	5	v	2	2	1
6	m	@	4	4	1
9	w	I	1	1	1
J	r	@	18	18	1
V	T	I	6	6	1
I	V	n	1	1	1
D	b	$	1	1	1
t	c	m	1	1	1
2	u	 	1	1	1
6	E	v	1	1	1
4	r	2	1	1	1
$	j	@	2	2	1
g	d	 	14	14	1
V	x	 	1	1	1
9	_	I	2	2	1
S	f	U	4	4	1
j	w	@	1	1	1
I	6	 	1	1	1
4	1	 	1	1	1
U	#	S	1	1	1
g	_	{	1	1	1
S	q	N	1	1	1
d	_	{	1	1	1
Z	P	 	2	2	1
1	$	t	1	1	1
u	2	d	1	1	1
Z	8	R	1	1	1
7	R	 	177	177	1
z	4	d	1	1	1
Z	E	t	1	1	1
Q	@	R	2	2	1
P	z	 	40	40	1
6	r	I	3	3	1
 	q	n	3	3	1
P	T	I	1	1	1
4	p	u	1	1	1
_	H	@	1	1	1
E	Z	@	28	28	1
3	R	 	62	62	1
f	q	N	1	1	1
k	q	N	1	1	1
r	j	u	1	1	1
N	_	I	1	1	1
T	S	1	1	1	1
D	l	I	4	4	1
j	~	N	1	1	1
D	V	s	1	1	1
b	S	E	1	1	1
0	N	 	1	1	1
Z	U	r	1	1	1
z	_	i	1	1	1
2	#	r	1	1	1
_	g	r	2	2	1
Z	j	@	4	4	1
2	6	t	1	1	1
D	m	I	6	6	1
u	6	t	2	2	1
1	{	k	2	2	1
N	2	@	1	1	1
D	n	I	1	1	1
u	i	 	1	1	1
_	j	@	4	4	1
N	#	m	1	1	1
Z	I	g	1	1	1
p	q	N	2	2	1
_	t	@	1	1	1
b	~	m	1	1	1
D	$	l	2	2	1
u	8	 	1	1	1
H	f	5	2	2	1
P	{	k	1	1	1
4	i	 	1	1	1
8	R	 	163	163	1
v	J	2	1	1	1
g	Z	9	5	5	1
N	6	t	4	4	1
_	d	 	24	24	1
z	8	r	3	3	1
j	6	l	2	2	1
z	6	n	3	3	1
#	@	n	1	1	1
1	6	t	2	2	1
m	q	N	4	4	1
5	6	t	1	1	1
4	{	k	2	2	1
P	v	2	1	1	1
P	1	_	1	1	1
T	6	z	6	6	1
8	Z	 	1	1	1
7	{	d	1	1	1
z	q	n	1	1	1
n	U	k	3	3	1
s	F	 	1	1	1
z	F	 	1	1	1
$	v	E	1	1	1
U	w	1	3	3	1
d	D	@	2	2	1
u	{	d	1	1	1
 	9	d	2	2	1
H	T	 	4	4	1
D	r	@	1	1	1
v	_	i	1	1	1
w	0	N	1	1	1
Z	w	#	3	3	1
c	n	Z	1	1	1
6	U	N	1	1	1
g	8	r	11	11	1
4	5	t	1	1	1
b	p	i	2	2	1
T	P	 	3	3	1
r	~	N	1	1	1
N	J	8	1	1	1
z	U	k	1	1	1
v	h	1	1	1	1
S	J	8	1	1	1
V	D	@	36	36	1
 	~	m	1	1	1
N	1	d	1	1	1
7	_	E	1	1	1
D	t	V	1	1	1
U	_	i	1	1	1
1	#	l	2	2	1
H	g	{	1	1	1
f	_	{	1	1	1
v	9	r	1	1	1
@	D	@	3	3	1
6	_	 	2	2	1
2	2	d	2	2	1
J	j	#	1	1	1
u	R	 	1	1	1
P	_	{	2	2	1
v	p	2	1	1	1
P	j	u	8	8	1
6	v	 	1	1	1
D	P	 	1	1	1
4	E	n	2	2	1
#	Z	 	21	21	1
4	h	U	1	1	1
k	9	r	1	1	1
v	U	{	2	2	1
7	T	 	11	11	1
J	4	s	2	2	1
Z	u	 	1	1	1
h	F	 	1	1	1
n	D	@	5	5	1
l	D	5	1	1	1
p	_	{	2	2	1
U	N	 	1	1	1
z	S	i	1	1	1
q	m	b	1	1	1
1	i	 	2	2	1
H	8	R	1	1	1
t	v	5	1	1	1
I	~	N	1	1	1
m	9	R	3	3	1
J	J	1	1	1	1
H	S	I	4	4	1
D	h	5	1	1	1
5	V	p	3	3	1
4	m	@	5	5	1
@	R	 	2834	2834	1
$	I	N	5	5	1
I	q	N	2	2	1
p	0	n	1	1	1
l	0	n	1	1	1
9	R	 	62	62	1
U	Q	s	2	2	1
4	S	Q	1	1	1
k	v	#	1	1	1
s	~	N	1	1	1
i	6	 	1	1	1
@	I	n	1	1	1
6	k	{	1	1	1
2	3	n	1	1	1
c	m	b	1	1	1
h	9	r	1	1	1
m	~	n	1	1	1
D	f	1	1	1	1
p	v	2	1	1	1
_	f	U	4	4	1
@	Z	i	1	1	1
9	z	 	1	1	1
i	V	p	2	2	1
S	s	t	1	1	1
1	1	 	2	2	1
u	r	I	1	1	1
9	t	 	3	3	1
H	k	$	1	1	1
f	v	Q	1	1	1
{	D	@	12	12	1
S	j	@	3	3	1
S	9	l	12	12	1
7	h	E	3	3	1
m	J	8	1	1	1
H	n	I	5	5	1
N	V	p	4	4	1
1	j	1	1	1	1
#	j	3	1	1	1
f	D	@	1	1	1
T	J	8	1	1	1
T	d	1	1	1	1
N	l	I	200	204	0.980392156862745
S	l	I	41	42	0.976190476190476
E	D	@	41	42	0.976190476190476
H	z	 	31	32	0.96875
v	l	I	145	150	0.966666666666667
_	m	@	22	23	0.956521739130435
v	8	r	20	21	0.952380952380952
h	j	u	52	55	0.945454545454545
k	P	 	324	348	0.931034482758621
v	n	I	65	70	0.928571428571429
T	f	U	21	23	0.91304347826087
n	P	 	154	169	0.911242603550296
_	l	I	9	10	0.9
H	l	I	18	20	0.9
t	l	I	430	479	0.897703549060543
S	P	 	78	87	0.896551724137931
g	U	d	26	29	0.896551724137931
8	z	 	17	19	0.894736842105263
z	1	S	102	114	0.894736842105263
1	S	H	892	1002	0.890219560878243
b	P	 	651	734	0.886920980926431
N	z	 	54	61	0.885245901639344
v	V	l	23	26	0.884615384615385
P	@	R	21	24	0.875
T	H	 	7	8	0.875
S	H	 	1339	1533	0.873450750163079
Z	H	 	62	71	0.873239436619718
 	6	t	116	133	0.87218045112782
2	J	@	6	7	0.857142857142857
j	#	d	18	21	0.857142857142857
f	U	l	307	360	0.852777777777778
v	z	 	11	13	0.846153846153846
#	D	@	16	19	0.842105263157895
s	P	 	69	82	0.841463414634146
d	n	I	76	91	0.835164835164835
t	n	I	96	115	0.834782608695652
6	D	d	5	6	0.833333333333333
~	N	 	5	6	0.833333333333333
T	l	I	25	30	0.833333333333333
j	V	N	5	6	0.833333333333333
i	j	u	5	6	0.833333333333333
7	m	 	44	53	0.830188679245283
m	P	 	29	35	0.828571428571429
v	d	 	28	34	0.823529411764706
p	P	 	70	85	0.823529411764706
l	l	I	18	22	0.818181818181818
7	f	U	9	11	0.818181818181818
w	V	n	35	43	0.813953488372093
m	l	I	70	86	0.813953488372093
f	H	 	13	16	0.8125
l	n	I	60	74	0.810810810810811
S	t	 	17	21	0.80952380952381
 	4	l	17	21	0.80952380952381
H	d	 	21	26	0.807692307692308
 	V	n	544	675	0.805925925925926
Z	1	 	4	5	0.8
D	E	n	4	5	0.8
m	d	 	40	50	0.8
7	z	 	4	5	0.8
m	m	1	4	5	0.8
z	P	 	43	54	0.796296296296296
d	z	 	76	96	0.791666666666667
d	l	I	222	281	0.790035587188612
U	{	l	11	14	0.785714285714286
D	{	t	7	9	0.777777777777778
P	2	z	7	9	0.777777777777778
t	T	 	10	13	0.769230769230769
J	m	@	16	21	0.761904761904762
5	v	@	204	268	0.761194029850746
f	j	u	82	108	0.759259259259259
Q	_	I	71	94	0.75531914893617
z	d	 	40	53	0.754716981132076
S	3	t	12	16	0.75
D	5	 	3	4	0.75
T	j	u	9	12	0.75
T	1	n	3	4	0.75
J	s	t	3	4	0.75
8	v	4	3	4	0.75
4	k	Q	3	4	0.75
j	7	l	6	8	0.75
J	t	 	12	16	0.75
u	5	d	3	4	0.75
 	Z	q	3	4	0.75
l	U	k	15	20	0.75
D	H	 	3	4	0.75
w	6	 	3	4	0.75
D	i	 	3	4	0.75
$	Z	w	3	4	0.75
g	P	 	85	114	0.745614035087719
v	Q	l	29	39	0.743589743589744
h	6	s	87	118	0.73728813559322
f	P	 	33	45	0.733333333333333
H	s	 	44	60	0.733333333333333
4	d	 	38	52	0.730769230769231
k	S	H	157	217	0.723502304147465
P	n	I	13	18	0.722222222222222
d	6	n	72	100	0.72
5	$	d	5	7	0.714285714285714
3	D	I	15	21	0.714285714285714
{	Z	9	5	7	0.714285714285714
z	n	I	5	7	0.714285714285714
v	P	 	69	97	0.711340206185567
N	@	R	17	24	0.708333333333333
d	P	 	122	173	0.705202312138728
u	S	H	45	64	0.703125
f	d	I	7	10	0.7
T	{	N	14	20	0.7
D	d	 	7	10	0.7
p	4	n	49	71	0.690140845070423
Z	9	l	11	16	0.6875
u	Z	H	26	38	0.684210526315789
7	n	 	160	235	0.680851063829787
s	J	@	44	65	0.676923076923077
t	P	 	167	247	0.676113360323887
4	n	t	58	86	0.674418604651163
d	9	R	2	3	0.666666666666667
#	Q	S	2	3	0.666666666666667
H	2	d	2	3	0.666666666666667
I	Z	H	26	39	0.666666666666667
k	H	I	2	3	0.666666666666667
U	n	I	8	12	0.666666666666667
Q	T	 	24	36	0.666666666666667
S	m	@	20	30	0.666666666666667
2	j	9	2	3	0.666666666666667
8	g	r	2	3	0.666666666666667
f	n	I	8	12	0.666666666666667
b	_	E	16	24	0.666666666666667
m	v	E	2	3	0.666666666666667
g	9	m	2	3	0.666666666666667
z	t	1	2	3	0.666666666666667
w	4	z	2	3	0.666666666666667
r	3	z	2	3	0.666666666666667
H	p	$	2	3	0.666666666666667
d	U	s	2	3	0.666666666666667
I	j	Q	2	3	0.666666666666667
v	u	 	2	3	0.666666666666667
t	q	n	2	3	0.666666666666667
#	5	I	2	3	0.666666666666667
Z	q	n	2	3	0.666666666666667
H	r	I	8	12	0.666666666666667
7	g	r	4	6	0.666666666666667
7	v	E	2	3	0.666666666666667
5	Z	@	10	15	0.666666666666667
s	9	r	2	3	0.666666666666667
u	#	n	2	3	0.666666666666667
_	r	5	2	3	0.666666666666667
9	b	P	4	6	0.666666666666667
5	3	s	2	3	0.666666666666667
P	m	@	20	30	0.666666666666667
D	s	@	2	3	0.666666666666667
l	j	@	114	172	0.662790697674419
g	j	U	39	59	0.661016949152542
t	f	U	84	128	0.65625
2	I	N	17	26	0.653846153846154
$	w	@	13	20	0.65
p	S	H	42	65	0.646153846153846
J	9	l	39	61	0.639344262295082
t	8	r	39	61	0.639344262295082
$	z	 	23	36	0.638888888888889
v	m	@	7	11	0.636363636363636
k	n	I	42	66	0.636363636363636
f	4	l	7	11	0.636363636363636
8	l	I	14	22	0.636363636363636
S	n	I	38	60	0.633333333333333
H	t	 	81	128	0.6328125
h	7	r	22	35	0.628571428571429
6	s	 	69	110	0.627272727272727
j	1	 	5	8	0.625
J	f	U	5	8	0.625
m	4	s	5	8	0.625
J	n	@	5	8	0.625
s	l	I	415	666	0.623123123123123
V	s	t	157	252	0.623015873015873
k	J	@	38	61	0.622950819672131
l	z	 	23	37	0.621621621621622
1	t	 	606	975	0.621538461538461
@	_	I	121	195	0.620512820512821
k	6	n	80	129	0.62015503875969
V	N	k	95	154	0.616883116883117
k	U	k	16	26	0.615384615384615
l	J	@	16	26	0.615384615384615
J	l	I	8	13	0.615384615384615
z	3	v	27	44	0.613636363636364
n	n	I	19	31	0.612903225806452
6	J	 	11	18	0.611111111111111
s	u	p	72	118	0.610169491525424
6	l	 	25	41	0.609756097560976
I	N	 	1082	1776	0.609234234234234
j	U	l	286	470	0.608510638297872
n	l	I	86	142	0.605633802816901
P	d	 	35	58	0.603448275862069
2	z	 	267	444	0.601351351351351
D	z	 	6	10	0.6
g	i	z	3	5	0.6
m	8	r	6	10	0.6
z	v	E	3	5	0.6
g	7	R	3	5	0.6
S	2	n	12	20	0.6
3	S	H	27	45	0.6
u	j	@	3	5	0.6
5	Q	p	9	15	0.6
b	f	V	3	5	0.6
i	{	t	3	5	0.6
g	w	I	28	47	0.595744680851064
{	r	@	186	313	0.594249201277955
n	8	r	16	27	0.592592592592593
n	6	n	16	27	0.592592592592593
t	j	u	164	277	0.592057761732852
t	m	@	58	98	0.591836734693878
J	1	n	26	44	0.590909090909091
m	j	u	101	171	0.590643274853801
 	5	v	185	316	0.585443037974684
3	z	 	7	12	0.583333333333333
P	r	I	7	12	0.583333333333333
z	@	m	255	439	0.580865603644647
E	N	T	11	19	0.578947368421053
r	8	r	11	19	0.578947368421053
t	H	 	56	97	0.577319587628866
u	f	 	38	66	0.575757575757576
f	u	l	12	21	0.571428571428571
g	s	t	4	7	0.571428571428571
s	S	I	4	7	0.571428571428571
N	I	N	12	21	0.571428571428571
7	d	 	12	21	0.571428571428571
J	$	k	4	7	0.571428571428571
t	4	l	8	14	0.571428571428571
2	V	m	4	7	0.571428571428571
3	r	I	8	14	0.571428571428571
$	S	H	24	42	0.571428571428571
8	d	 	13	23	0.565217391304348
f	6	n	22	39	0.564102564102564
s	n	I	182	323	0.563467492260062
z	l	I	18	32	0.5625
z	j	@	23	41	0.560975609756098
h	U	d	28	50	0.56
l	I	 	2594	4653	0.557489791532345
m	n	I	34	61	0.557377049180328
s	4	l	5	9	0.555555555555556
S	U	g	10	18	0.555555555555556
J	5	k	5	9	0.555555555555556
 	I	n	1259	2271	0.554381329810656
v	#	n	16	29	0.551724137931034
T	$	t	11	20	0.55
h	5	l	91	166	0.548192771084337
8	n	I	6	11	0.545454545454545
z	m	@	49	90	0.544444444444444
v	j	@	31	57	0.543859649122807
E	r	I	139	256	0.54296875
@	z	 	77	143	0.538461538461538
8	k	r	7	13	0.538461538461538
i	z	 	110	205	0.536585365853659
r	U	m	52	97	0.536082474226804
J	8	R	8	15	0.533333333333333
d	8	r	8	15	0.533333333333333
7	t	 	26	49	0.530612244897959
v	r	I	9	17	0.529411764705882
3	f	I	18	34	0.529411764705882
@	t	I	787	1489	0.528542646071189
_	{	k	38	72	0.527777777777778
r	6	n	82	156	0.525641025641026
d	H	 	45	86	0.523255813953488
 	j	u	140	269	0.520446096654275
h	@	l	13	25	0.52
5	J	 	13	25	0.52
J	2	l	15	29	0.517241379310345
J	E	k	30	58	0.517241379310345
#	J	 	16	31	0.516129032258065
w	@	d	81	157	0.515923566878981
1	d	 	124	243	0.510288065843621
P	I	 	28	55	0.509090909090909
$	g	@	29	57	0.508771929824561
n	g	r	29	57	0.508771929824561
9	s	 	38	75	0.506666666666667
4	l	 	38	75	0.506666666666667
p	$	t	90	178	0.50561797752809
7	s	 	74	147	0.503401360544218
S	S	u	1	2	0.5
b	g	Q	1	2	0.5
Z	i	n	1	2	0.5
7	k	P	2	4	0.5
k	_	$	1	2	0.5
5	#	T	1	2	0.5
J	Q	p	7	14	0.5
z	Q	n	9	18	0.5
l	q	n	1	2	0.5
6	w	E	1	2	0.5
_	b	r	1	2	0.5
_	p	5	2	4	0.5
d	4	l	2	4	0.5
D	6	t	1	2	0.5
v	q	n	2	4	0.5
4	b	i	1	2	0.5
 	U	p	1	2	0.5
6	w	6	1	2	0.5
V	S	 	35	70	0.5
5	#	l	1	2	0.5
6	p	Q	1	2	0.5
_	6	l	2	4	0.5
#	7	r	1	2	0.5
u	$	R	1	2	0.5
U	E	n	5	10	0.5
4	s	t	15	30	0.5
_	6	s	2	4	0.5
j	I	d	2	4	0.5
m	U	s	2	4	0.5
V	r	I	36	72	0.5
j	8	R	1	2	0.5
d	T	r	2	4	0.5
f	S	$	2	4	0.5
g	~	N	1	2	0.5
u	J	@	8	16	0.5
4	b	P	1	2	0.5
1	Z	H	11	22	0.5
U	8	R	1	2	0.5
6	S	8	1	2	0.5
b	g	r	1	2	0.5
 	u	z	4	8	0.5
g	~	n	1	2	0.5
#	7	R	1	2	0.5
u	3	p	1	2	0.5
u	h	#	4	8	0.5
6	S	E	1	2	0.5
b	v	3	5	10	0.5
p	J	@	14	28	0.5
u	3	T	1	2	0.5
i	D	 	6	12	0.5
_	b	$	1	2	0.5
p	m	@	10	20	0.5
$	D	@	3	6	0.5
s	q	N	2	4	0.5
l	q	N	1	2	0.5
v	b	Q	2	4	0.5
P	J	E	1	2	0.5
p	T	 	1	2	0.5
m	T	I	2	4	0.5
q	N	 	9	18	0.5
2	h	{	2	4	0.5
U	8	r	1	2	0.5
j	8	 	1	2	0.5
I	$	R	2	4	0.5
N	m	@	3	6	0.5
s	8	r	1	2	0.5
4	f	U	2	4	0.5
I	2	t	2	4	0.5
r	w	#	1	2	0.5
~	m	b	1	2	0.5
l	~	N	1	2	0.5
@	N	k	1	2	0.5
u	$	l	1	2	0.5
#	w	@	3	6	0.5
I	2	d	2	4	0.5
 	U	m	1	2	0.5
v	q	N	2	4	0.5
0	n	Z	1	2	0.5
k	_	{	1	2	0.5
6	p	{	1	2	0.5
4	N	k	1	2	0.5
r	w	V	1	2	0.5
u	1	J	2	4	0.5
v	t	1	3	6	0.5
z	g	I	2	4	0.5
~	m	p	1	2	0.5
d	4	E	2	4	0.5
5	i	v	2	4	0.5
@	N	g	1	2	0.5
2	1	t	2	4	0.5
i	i	 	2	4	0.5
P	J	1	1	2	0.5
0	n	s	1	2	0.5
Z	i	m	1	2	0.5
_	4	n	21	42	0.5
s	8	R	1	2	0.5
g	S	E	1	2	0.5
I	#	k	6	12	0.5
Q	S	 	32	64	0.5
U	5	 	1	2	0.5
p	T	s	1	2	0.5
5	i	n	2	4	0.5
s	_	4	4	8	0.5
i	2	 	4	8	0.5
I	@	t	2	4	0.5
g	S	I	1	2	0.5
l	T	I	12	24	0.5
l	~	n	1	2	0.5
t	_	{	2	4	0.5
4	N	t	1	2	0.5
D	6	 	1	2	0.5
U	5	z	1	2	0.5
u	w	1	2	4	0.5
z	s	E	1	2	0.5
d	T	3	2	4	0.5
S	S	I	1	2	0.5
U	z	@	3	6	0.5
z	s	t	1	2	0.5
g	#	d	38	77	0.493506493506494
m	@	n	634	1296	0.489197530864198
m	z	 	22	45	0.488888888888889
V	_	 	20	41	0.48780487804878
j	9	r	139	285	0.487719298245614
#	T	 	17	35	0.485714285714286
U	1	S	17	35	0.485714285714286
g	E	t	17	35	0.485714285714286
U	1	t	17	35	0.485714285714286
{	_	I	33	68	0.485294117647059
v	E	n	79	163	0.484662576687117
l	d	 	156	322	0.484472049689441
J	@	R	131	271	0.483394833948339
z	2	@	14	29	0.482758620689655
I	1	t	55	114	0.482456140350877
g	3	l	13	27	0.481481481481481
S	#	p	13	27	0.481481481481481
p	n	I	12	25	0.48
T	E	t	23	48	0.479166666666667
b	6	n	33	69	0.478260869565217
l	9	r	11	23	0.478260869565217
2	d	 	169	354	0.477401129943503
t	7	r	50	105	0.476190476190476
s	T	E	9	19	0.473684210526316
n	j	@	186	395	0.470886075949367
z	$	s	8	17	0.470588235294118
N	r	U	8	17	0.470588235294118
5	g	r	38	81	0.469135802469136
9	l	 	51	109	0.467889908256881
n	I	s	969	2074	0.467213114754098
S	7	t	7	15	0.466666666666667
w	U	d	48	103	0.466019417475728
g	m	@	20	43	0.465116279069767
b	$	d	80	172	0.465116279069767
I	_	 	179	385	0.464935064935065
p	J	9	13	28	0.464285714285714
H	@	l	57	123	0.463414634146341
H	m	@	6	13	0.461538461538462
q	n	s	6	13	0.461538461538462
#	z	 	6	13	0.461538461538462
i	J	 	24	52	0.461538461538462
f	h	{	6	13	0.461538461538462
1	J	@	11	24	0.458333333333333
b	8	r	22	48	0.458333333333333
b	l	I	287	627	0.457735247208931
N	s	t	16	35	0.457142857142857
Q	J	 	21	46	0.456521739130435
p	7	r	31	68	0.455882352941176
Q	l	@	211	463	0.455723542116631
#	f	t	76	167	0.455089820359281
{	N	k	140	308	0.454545454545455
U	g	@	10	22	0.454545454545455
i	n	 	175	385	0.454545454545455
N	T	 	5	11	0.454545454545455
I	d	 	477	1050	0.454285714285714
E	v	@	83	183	0.453551912568306
Z	@	R	24	53	0.452830188679245
p	8	R	19	42	0.452380952380952
b	U	k	47	104	0.451923076923077
Q	r	I	89	197	0.451776649746193
E	S	H	51	113	0.451327433628319
5	D	z	9	20	0.45
T	7	r	9	20	0.45
s	j	u	26	58	0.448275862068966
1	I	k	13	29	0.448275862068966
2	m	 	69	154	0.448051948051948
l	_	@	17	38	0.447368421052632
u	l	 	63	141	0.446808510638298
3	d	 	42	94	0.446808510638298
w	3	k	88	197	0.446700507614213
v	i	n	24	54	0.444444444444444
_	7	r	8	18	0.444444444444444
f	w	I	4	9	0.444444444444444
H	I	s	20	45	0.444444444444444
8	m	@	4	9	0.444444444444444
I	E	n	12	27	0.444444444444444
4	I	S	4	9	0.444444444444444
d	u	 	16	36	0.444444444444444
S	6	t	4	9	0.444444444444444
i	E	m	12	27	0.444444444444444
S	6	@	4	9	0.444444444444444
1	z	 	59	133	0.443609022556391
#	s	t	138	312	0.442307692307692
3	T	 	19	43	0.441860465116279
S	u	t	19	43	0.441860465116279
2	t	 	222	503	0.441351888667992
D	@	R	71	161	0.440993788819876
6	@	R	48	109	0.440366972477064
T	Q	l	11	25	0.44
3	_	@	29	66	0.439393939393939
@	l	I	769	1756	0.437927107061503
_	3	n	14	32	0.4375
z	V	m	7	16	0.4375
t	9	R	7	16	0.4375
z	V	l	7	16	0.4375
n	z	 	52	119	0.436974789915966
w	8	R	38	87	0.436781609195402
I	5	 	37	85	0.435294117647059
@	w	1	40	92	0.434782608695652
1	l	 	124	286	0.433566433566434
w	$	t	93	215	0.432558139534884
V	J	 	16	37	0.432432432432432
u	d	 	80	185	0.432432432432432
I	z	@	273	632	0.431962025316456
9	l	I	47	109	0.431192660550459
U	k	 	53	123	0.430894308943089
V	r	@	31	72	0.430555555555556
@	m	 	484	1126	0.429840142095915
7	l	 	76	177	0.429378531073446
2	D	@	6	14	0.428571428571429
9	m	@	3	7	0.428571428571429
v	w	#	3	7	0.428571428571429
2	E	s	3	7	0.428571428571429
2	V	p	3	7	0.428571428571429
i	Z	H	3	7	0.428571428571429
4	z	 	9	21	0.428571428571429
2	E	n	3	7	0.428571428571429
p	g	r	3	7	0.428571428571429
_	9	l	12	28	0.428571428571429
9	m	 	3	7	0.428571428571429
J	Q	k	6	14	0.428571428571429
j	i	l	3	7	0.428571428571429
2	D	 	6	14	0.428571428571429
6	I	s	3	7	0.428571428571429
U	m	 	48	112	0.428571428571429
_	w	1	3	7	0.428571428571429
v	s	t	3	7	0.428571428571429
2	i	v	3	7	0.428571428571429
g	h	E	3	7	0.428571428571429
2	g	r	9	21	0.428571428571429
g	t	1	3	7	0.428571428571429
P	t	I	6	14	0.428571428571429
T	m	E	3	7	0.428571428571429
i	Q	k	3	7	0.428571428571429
d	S	I	9	21	0.428571428571429
1	Q	f	3	7	0.428571428571429
7	w	@	3	7	0.428571428571429
7	r	7	91	213	0.427230046948357
U	d	 	52	122	0.426229508196721
Q	z	I	20	47	0.425531914893617
d	s	t	31	73	0.424657534246575
6	t	 	101	238	0.42436974789916
V	p	 	105	248	0.423387096774194
b	4	 	22	52	0.423076923076923
k	j	U	145	343	0.422740524781341
 	d	I	961	2278	0.421861281826163
k	u	l	32	76	0.421052631578947
p	h	5	8	19	0.421052631578947
I	1	S	48	114	0.421052631578947
h	{	n	111	264	0.420454545454545
S	$	t	31	74	0.418918918918919
I	D	@	15	36	0.416666666666667
s	U	I	5	12	0.416666666666667
U	I	n	10	24	0.416666666666667
@	b	P	489	1178	0.415110356536503
v	5	k	22	53	0.415094339622642
n	J	 	61	147	0.414965986394558
2	l	 	92	222	0.414414414414414
5	@	R	19	46	0.41304347826087
$	_	 	7	17	0.411764705882353
v	r	@	7	17	0.411764705882353
w	E	l	104	253	0.411067193675889
m	2	n	76	185	0.410810810810811
m	6	n	23	56	0.410714285714286
D	I	 	16	39	0.41025641025641
p	6	@	25	61	0.409836065573771
m	E	n	176	430	0.409302325581395
8	r	7	106	259	0.409266409266409
u	_	 	9	22	0.409090909090909
b	z	 	9	22	0.409090909090909
b	t	r	9	22	0.409090909090909
b	z	3	9	22	0.409090909090909
Q	r	@	80	197	0.406091370558376
f	8	R	15	37	0.405405405405405
_	@	n	133	329	0.404255319148936
$	r	7	88	218	0.403669724770642
5	S	@	29	72	0.402777777777778
d	j	u	98	244	0.401639344262295
5	n	 	133	332	0.400602409638554
_	s	t	2	5	0.4
b	9	R	2	5	0.4
S	p	Q	2	5	0.4
7	p	Q	2	5	0.4
P	l	2	2	5	0.4
v	$	l	6	15	0.4
b	9	r	2	5	0.4
m	8	R	4	10	0.4
m	r	Q	4	10	0.4
8	h	E	2	5	0.4
r	9	r	8	20	0.4
T	#	t	2	5	0.4
b	k	Q	6	15	0.4
N	S	$	2	5	0.4
b	f	U	2	5	0.4
z	f	5	2	5	0.4
j	Q	n	6	15	0.4
P	p	#	2	5	0.4
z	f	2	2	5	0.4
D	8	r	8	20	0.4
h	4	s	2	5	0.4
J	u	 	4	10	0.4
i	1	t	8	20	0.4
1	h	E	2	5	0.4
P	S	E	2	5	0.4
g	f	U	2	5	0.4
U	E	t	4	10	0.4
_	h	Q	2	5	0.4
I	8	r	2	5	0.4
S	7	R	6	15	0.4
1	E	m	2	5	0.4
8	h	5	2	5	0.4
J	w	3	4	10	0.4
z	v	3	2	5	0.4
S	p	i	2	5	0.4
p	9	n	2	5	0.4
T	#	_	2	5	0.4
#	d	 	72	180	0.4
z	7	n	10	25	0.4
_	U	k	10	25	0.4
b	m	3	6	15	0.4
1	h	6	2	5	0.4
_	#	R	6	15	0.4
@	s	 	539	1354	0.39807976366322
n	t	 	1022	2569	0.397820163487738
b	s	t	48	121	0.396694214876033
t	s	 	93	235	0.395744680851064
S	u	 	17	43	0.395348837209302
{	v	@	45	114	0.394736842105263
l	v	@	30	76	0.394736842105263
j	@	n	223	565	0.394690265486726
w	{	k	24	61	0.39344262295082
S	Q	p	22	56	0.392857142857143
_	9	r	11	28	0.392857142857143
1	_	 	40	102	0.392156862745098
_	E	n	85	217	0.391705069124424
1	b	P	43	110	0.390909090909091
7	l	I	69	177	0.389830508474576
5	s	t	99	254	0.389763779527559
S	@	s	167	430	0.388372093023256
i	_	@	19	49	0.387755102040816
S	E	l	19	49	0.387755102040816
r	#	f	69	178	0.387640449438202
f	t	 	81	209	0.38755980861244
T	3	m	12	31	0.387096774193548
s	6	n	17	44	0.386363636363636
1	k	 	98	254	0.385826771653543
3	k	 	67	174	0.385057471264368
f	6	l	15	39	0.384615384615385
1	D	I	5	13	0.384615384615385
D	I	N	15	39	0.384615384615385
p	f	U	10	26	0.384615384615385
h	E	d	105	273	0.384615384615385
5	T	 	10	26	0.384615384615385
1	D	 	5	13	0.384615384615385
U	m	@	43	112	0.383928571428571
1	p	@	51	133	0.383458646616541
I	v	 	355	926	0.383369330453564
3	p	@	23	60	0.383333333333333
1	g	r	13	34	0.382352941176471
I	s	 	1283	3362	0.381618084473528
p	8	r	16	42	0.380952380952381
9	n	s	8	21	0.380952380952381
d	5	 	51	134	0.380597014925373
{	z	@	19	50	0.38
6	n	d	153	405	0.377777777777778
2	n	 	175	464	0.377155172413793
1	m	 	49	130	0.376923076923077
@	r	I	718	1908	0.376310272536688
$	d	 	104	277	0.375451263537906
U	f	{	3	8	0.375
j	3	R	3	8	0.375
t	9	r	6	16	0.375
i	T	 	9	24	0.375
J	n	I	3	8	0.375
m	4	l	3	8	0.375
s	_	V	3	8	0.375
J	U	l	9	24	0.375
E	s	t	279	744	0.375
j	3	n	3	8	0.375
g	p	2	3	8	0.375
1	5	 	3	8	0.375
$	p	@	18	48	0.375
U	J	 	3	8	0.375
U	J	@	3	8	0.375
J	3	J	6	16	0.375
$	k	 	46	123	0.373983739837398
b	j	u	37	99	0.373737373737374
9	s	l	28	75	0.373333333333333
