		syl	cons	son	cont	voi	nas	strid	lat	LAB	COR	ant	DORS	hi	lo	bk	rnd	tns	diph	reduc	rhotic
4	42	"+,"	0	0	0	0	0	0	0	0	0	0	0	"-,"	"-,"	"-,"	"+,"	"+,"	"+,"	"-,"	"-,"
5	43	"+,"	0	0	0	0	0	0	0	0	0	0	0	"-,"	"-,"	"+,"	"+,"	"+,"	"-,"	"-,"	"-,"
6	44	"+,"	0	0	0	0	0	0	0	0	0	0	0	"-,"	"-,"	"+,"	"+,"	"+,"	"+,"	"-,"	"-,"
$	45	"+,"	0	0	0	0	0	0	0	0	0	0	0	"-,"	"-,"	"+,"	"+,"	"-,"	"-,"	"-,"	"-,"
7	46	"+,"	0	0	0	0	0	0	0	0	0	0	0	"+,"	"-,"	"-,"	"-,"	"+,"	"-,"	"-,"	"+,"
8	47	"+,"	0	0	0	0	0	0	0	0	0	0	0	"-,"	"-,"	"-,"	"-,"	"+,"	"-,"	"-,"	"+,"
9	48	"+,"	0	0	0	0	0	0	0	0	0	0	0	"+,"	"-,"	"+,"	"+,"	"+,"	"-,"	"-,"	"+,"
c	49	"+,"	0	0	0	0	"+,"	0	0	0	0	0	0	"-,"	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"
0	50	"+,"	0	0	0	0	"+,"	0	0	0	0	0	0	"-,"	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"
~	51	"+,"	0	0	0	0	"+,"	0	0	0	0	0	0	"-,"	"-,"	"+,"	"+,"	"-,"	"-,"	"-,"	"-,"
