		syllabic	consonantal	hi	lo	bk	rnd	long	diphthong	reduced	rhotacized	nasal	labial	coronal	dorsal	bilabial	dental	alveolar	palatal	velar	obstruent	sonorant	stop	continuant	glide	consonantal	oral	affricate	strident	distributed	lateral	rhotic	nasal	voice	voiceless	spread glottis
"6,"	54	"+,"	"-,"	"-,"	"-,"	"+,"	"-,"	"+,"	"+,"	"-,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"7,"	55	"+,"	"-,"	"+,"	"-,"	"-,"	"-,"	"+,"	"-,"	"-,"	"+,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"8,"	56	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"+,"	"-,"	"-,"	"+,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"9,"	57	"+,"	"-,"	"+,"	"-,"	"+,"	"+,"	"+,"	"-,"	"-,"	"+,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"c,"	99	"+,"	"-,"	"-,"	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"q,"	113	"+,"	"-,"	"-,"	"+,"	"+,"	"-,"	"+,"	"-,"	"-,"	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"0,"	48	"+,"	"-,"	"-,"	"+,"	"-,"	"-,"	"+,"	"-,"	"-,"	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"~,"	126	"+,"	"-,"	"-,"	"+,"	"+,"	"-,"	"+,"	"-,"	"-,"	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"p,"	112	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"
"b,"	98	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"
