		syl	cons	son	cont	voi	nas	strid	lat	LAB	COR	ant	DORS	hi	lo	bk	rnd	tns	diph	reduc	rhotic
aI	41	"+,"	0	0	0	0	0	0	0	0	0	0	0	"-,"	"-,"	"-,"	"-,"	"+,"	"+,"	"-,"	"-,"
OI	42	"+,"	0	0	0	0	0	0	0	0	0	0	0	"-,"	"-,"	"-,"	"+,"	"+,"	"+,"	"-,"	"-,"
@U	43	"+,"	0	0	0	0	0	0	0	0	0	0	0	"-,"	"-,"	"+,"	"+,"	"+,"	"-,"	"-,"	"-,"
aU	44	"+,"	0	0	0	0	0	0	0	0	0	0	0	"-,"	"-,"	"+,"	"+,"	"+,"	"+,"	"-,"	"-,"
O:	45	"+,"	0	0	0	0	0	0	0	0	0	0	0	"-,"	"-,"	"+,"	"+,"	"-,"	"-,"	"-,"	"-,"
I@	46	"+,"	0	0	0	0	0	0	0	0	0	0	0	"+,"	"-,"	"-,"	"-,"	"+,"	"-,"	"-,"	"+,"
E@	47	"+,"	0	0	0	0	0	0	0	0	0	0	0	"-,"	"-,"	"-,"	"-,"	"+,"	"-,"	"-,"	"+,"
U@	48	"+,"	0	0	0	0	0	0	0	0	0	0	0	"+,"	"-,"	"+,"	"+,"	"+,"	"-,"	"-,"	"+,"
&~	49	"+,"	0	0	0	0	"+,"	0	0	0	0	0	0	"-,"	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"
&~:	50	"+,"	0	0	0	0	"+,"	0	0	0	0	0	0	"-,"	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"
O~:	51	"+,"	0	0	0	0	"+,"	0	0	0	0	0	0	"-,"	"-,"	"+,"	"+,"	"-,"	"-,"	"-,"	"-,"
